Name,Occupation,Gender,MaleScore,FemaleScore,NonBinaryScore,Gender + hand codes,
Jennifer Golbeck,Computer scientist,female,0,5,2,female,
Jennifer Granholm,Former governor of Michigan,female,0,7,0,female,
Jennifer Lin,"Pianist, composer",female,0,8,0,female,
Jennifer Senior,Writer,female,0,6,1,female,
Jessa Gamble,Writer,female,0,3,1,female,
Jessi Arrington,Designer,female,0,4,0,female,
Jessica Green,Engineer and biodiversity scientist,female,0,2,1,female,
Jessica Ladd,"Founder and CEO, Sexual Health Innovations",female,0,6,1,female,
Jessica Shortall,"Strategy consultant, social entrepreneur and author",female,0,12,3,female,
Ji-Hae Park,Violinist,female,0,12,0,female,
Jill Bolte Taylor,Neuroanatomist,female,0,15,0,female,
Jill Tarter,Astronomer,female,0,5,0,female,
Jill Shargaa,Comedian + Designer,female,0,7,0,female,
Jill Sobule,Singer/songwriter,female,0,8,1,female,
Joan Halifax,"Author, Zen priest",female,0,5,1,female,
JoAnn Kuchera-Morin,Composer,female,0,2,0,female,
Jocelyne Bloch,Functional neurosurgeon,female,0,4,1,female,
Jody Williams,Nobel peace laureate,female,0,3,0,female,
Johanna Blakley,Media maven,female,0,3,1,female,
Josette Sheeran,Anti-hunger leader,female,0,5,2,female,
Julia Bacha,Filmmaker,female,0,1,0,female,
Julia Sweeney,"Actor, comedian, playwright",female,0,12,1,female,
Juliana Machado Ferreira,Biologist,female,0,4,1,female,
Juliana Rotich,Tech entrepreneur,female,0,4,2,female,
Julie Burstein,Writer and radio producer,female,0,3,0,female,
Julie Taymor,"Director, designer",female,0,13,0,female,
Kakenya Ntaiya,Educator and activist,female,1,17,0,female,
Kaki King,Guitarist,female,0,3,1,female,
Kare Anderson,Writer,female,0,1,0,female,
Karen Armstrong,Religious scholar,female,0,6,0,female,
Karen Bass,Natural history filmmaker ,female,0,4,0,female,
Karen Thompson Walker,Novelist,female,0,1,0,female,
Karen Tse,Anti-torture activist,female,0,4,0,female,
Karima Bennoune,Professor of international law,female,0,9,1,female,
Kate Orff,Landscape architect,female,0,1,0,female,
Kate Stone,Shepherd of electrons,female,0,10,0,female,
Katherine Fulton,New philanthropist,female,0,8,2,female,
