author,occupation,description,gender
Jared Ficklin,Visualizer,"In his day job, Jared Ficklin makes user interfaces at frog design. As a hobby, he explores what music looks like ... in light, in shapes, in fire.",male
Jarreth Merz,Filmmaker,"Jarreth Merz' new film, ""An African Election,"" follows the 2008 presidential elections in Ghana from start to finish.",male
Jarrett J. Krosoczka,Author/illustrator,"Jarrett J. Krosoczka is the author/illustrator of countless children's books and graphic novels, including Good Night, Monkey Boy, Baghead and the Lunch Lady series.",male
Jason deCaires Taylor,Sculptor,"Jason deCaires Taylor's underwater installations offer views of another world, where the artistic efforts of man meet the vivifying power of nature.",male
Jason Fried,Software entrepreneur,"Jason Fried thinks deeply about collaboration, productivity and the nature of work. He's the co-founder of 37signals, makers of Basecamp and other web-based collaboration tools, and co-author of ""Rework.""",male
Jason McCue,Lawyer,"Jason McCue litigates against terrorists, dictators and others who seem above the law, using the legal and judicial system in innovative ways.",male
Jason Pontin,Editor,Jason Pontin is the editor-in-chief and publisher of MIT Technology Review.,male
Jay Bradner,Research scientist,"In his lab, Jay Bradner, a researcher at Harvard and Dana Farber in Boston, works on a breakthrough approach for subverting cancer .. and he_ã_s giving the secret away.",male
Jay Silver,Inventor,Jay Silver and Eric Rosenbaum's MaKey MaKey kit lets you turn everyday objects into computer interfaces _ã inspiring both fun and practical new inventions.,male
Jay Walker,Entrepreneur,"Jay Walker is fascinated by intellectual property in all its forms. His firm, Walker Digital, created Priceline and many other businesses that reframe old problems with new IT. In his private life, he's a bibliophile and collector on an epic scale.",male
JD Schramm,Communicator,JD Schramm teaches future business leaders both the theoretical and practical aspects of communication.,male
Jean-Baptiste Michel,Data researcher,Jean-Baptiste Michel looks at how we can use large volumes of data to better understand our world.,male
Jean-Baptiste Michel,Data researcher,Jean-Baptiste Michel looks at how we can use large volumes of data to better understand our world.,male
Jean-Paul Mari,Journalist and psychologist,Jean-Paul Mari has reported on conflicts in more than three dozen countries.,male
Jeff Han,Human-computer interface designer,"After years of research on touch-driven computer displays, Jeff Han has created a simple, multi-touch, multi-user screen interface that just might herald the end of the point-and-click era. ",male
Jeff Hancock,Psychologist,"Jeff Hancock studies how we interact by email, text message and social media blips, seeking to understand how technology mediates communication.",male
Jeff Hawkins,"Computer designer, brain researcher","Jeff Hawkins pioneered the development of PDAs such as the Palm and Treo. Now he's trying to understand how the human brain really works, and adapt its method _ã which he describes as a deep system for storing memory _ã to create new kinds of computers and tools.",male
Jeff Skoll,Producer,"Jeff Skoll was the first president of eBay; he used his dot-com fortune to found the film house Participant Productions, making movies to inspire social change, including Syriana; Good Night, and Good Luck; Murderball; An Inconvenient Truth ...",male
Jeff Smith,Recovering politician,"Once an up-and-coming star in the Missouri State Senate, Jeff Smith went to prison for covering up an election law violation. Since his release, he's created a new space for himself as a professor, writer, political commentator and advocate for those he was locked up with. ",male
Jeff Speck,Urban planner,"Jeff Speck is a city planner and the author of ""Walkable City.""",male
Jeremy Heimans,Activist,"At Purpose, Jeremy Heimans strategizes how to harness new social, economic and technological models to build movements with impact.",male
Jeremy Howard,Data scientist,Jeremy Howard imagines how advanced machine learning can improve our lives.,male
Jeremy Jackson,Marine ecologist,"A leader in the study of the ecology and evolution of marine organisms, Jeremy Jackson  is known for his deep understanding of geological time.",male
Jim Fallon,Neurobiologist,"Sloan Scholar, Fulbright Fellow, Professor Emeritus of Neuroscience, Jim Fallon looks at the way nature and nurture intermingle to wire up the human brain.",male
James Flynn,Moral philosopher,James Flynn challenges our fundamental assumptions about intelligence.,male
Jim Holt,Writer and philosopher,"Why is there something rather than nothing? In his book ""Why Does the World Exist?"" Jim Holt dares to ask.",male
Jim Simons,"Philanthropist, mathematician","After astonishing success as a mathematician, code breaker and billionaire hedge fund manager, Jim Simons is mastering yet another field: philanthropy.",male
Jim Toomey,Cartoonist,"For the past 13 years, Jim Toomey has been writing and drawing the daily comic strip Sherman_ã_s Lagoon, about a daffy family of ocean dwellers.",male
Jimmy Carter,Peace activist,"The president of the United States from 1977 to 1981, Jimmy Carter has used his post-presidency years to work for peace, teach, write and engage in global activism.",male
Jinha Lee,"Interface designer, engineer","Jinha Lee works at the boundary of the physical and digital world. The TED Fellow, designer and engineer is exploring ways to weave digital information into physical space.",male
Jinsop Lee,Multi-sense designer,Jinsop Lee is an industrial designer who believes that great design appeals to all five senses. ,male
Joachim de Posada,Speaker and author,"Joachim de Posada was a speaker and motivational coach. He was the author of ""How to Survive Among the Piranhas"" and ""Don't Eat the Marshmallow ... Yet.""",male
Joe DeRisi,Biochemist,"Joe DeRisi hunts for the genes that make us sick. At his lab, he works to understand the genome of Plasmodium falciparum, the deadliest form of malaria. ",male
Joe Gebbia,"Designer, co-founder of Airbnb","As a designer, entrepreneur and the co-founder and Chief Product Officer of Airbnb, Joe Gebbia helped redesign the way the world travels and people connect.",male
Joe Kowan,Musician and graphic designer,"By day he's a graphic designer, and by night Joe Kowan is a quirky folk singer-songwriter.",male
Joe Landolina,medical inventor,Joe Landolina is a TED Fellow and the inventor of VETI-GEL.,male
Joe Madiath,Social entrepreneur,Joe Madiath brings Indian villagers together around water and sanitation projects.,male
Joe Sabia,Storyteller,Joe Sabia investigates new ways to tell stories _ã meshing viral video and new display technologies with old-fashioned narrative.,male
Joe Smith,Lawyer,Joe Smith is an active figure in the Oregon community and a powerful advocate for proper paper towel use.,male
Joel Selanikio,Health and technology activist,Dr. Joel Selanikio combines technology and data to help solve global health challenges.,male
Joey Alexander,Jazz pianist,Young piano player Joey Alexander has an old soul's gift for jazz.,male
Johan Rockstrom,Sustainability expert,"Johan Rockstrê_m works to redefine sustainable development, and figure out what needs to happen.",male
John Bohannon,Science writer,John Bohannon is a scientist and writer who runs the annual Dance Your Ph.D. contest. ,male
John Delaney,Oceanographer,"John Delaney leads the team that is building a cabled network of deep-ocean sensors that will study, over time and space, the way the ocean's complex processes interact. By networking the ocean to gather data, he's helping to revolutionize ocean science.",male
John Doerr,Venture capitalist,"John Doerr, Silicon Valley's legendary moneyman, is afraid of eco-apocalypse. After building his reputation (and a considerable fortune) investing in high-tech successes, he's turning his focus toward green technologies, and hoping it isn't too late.",male
John Francis,Planet walker,"John Francis walks the Earth, carrying a message of careful, truly sustainable development and respect for our planet.",male
John Gerzema,Marketing whiz,"John Gerzema uses data, analysis and decades of experience to identify trends and develop daring new approaches to advertising. ",male
John Graham-Cumming,Computer programmer,Computer programmer John Graham-Cumming keeps geek history alive by raising awareness for it's heroes and their inventions.,male
John Hockenberry,Journalist,"Journalist and commentator John Hockenberry has reported from all over the world in virtually every medium. He's the author of ""Moving Violations: War Zones, Wheelchairs and Declarations of Independence.""",male
John Hodgman,Expert,"John Hodgman is a writer, humorist, geek celebrity, former professional literary agent and expert on all world knowledge. He was the bumbling PC in Apple's long-running ""I'm a Mac; I'm a PC"" ad campaign.",male
John Hunter,Educator,"Teacher and musician John Hunter is the inventor of the World Peace Game (and the star of the documentary ""World Peace and Other 4th-Grade Achievements"").",male
John La Grou,Inventor,"John La Grou, a long-time electronics inventor, audio designer and entrepreneur, wants to save lives (and energy) with a new, smarter type of electrical outlet.",male
John Lloyd,Producer,John Lloyd helps make some of the cleverest television in the UK. ,male
John Maeda,Artist,"John Maeda, the former president of the Rhode Island School of Design, is dedicated to linking design and technology. Through the software tools, web pages and books he creates, he spreads his philosophy of elegant simplicity.",male
John McWhorter,Linguist,"Linguist John McWhorter thinks about language in relation to race, politics and our shared cultural history.",male
John Underkoffler,Interface designer,"Remember the data interface from Minority Report? Well, it's real, John Underkoffler invented it _ã as a point-and-touch interface called g-speak _ã and it's about to change the way we interact with data.",male
John Wooden,Coach,"John Wooden, affectionately known as Coach, led UCLA to record wins that are still unmatched in the world of basketball. Throughout his long life, he shared the values and life lessons he passed to his players, emphasizing success that_ã_s about much more than winning. ",male
Johnny Lee,Human-computer interaction researcher,"Researcher Johnny Lee became a YouTube star with his demo of Wii Remote hacks _ã bending the low-cost game piece to power an interactive whiteboard, a multitouch surface, a head-mounted display ...",male
Joi Ito,Relentless mind,Joi Ito is the director of the MIT Media Lab.,male
Jok Church,Cartoonist,"Jok Church created the science-education comic strip ""You Can with Beakman and Jax"" and the zany TV series ""Beakman's World.""",male
Jon Gosier,"Investor, data scientist, entrepreneur","Jon Gosier is a serial tech entrepreneur and early-stage startup investor. In 2015, Time magazine listed him as one of the ""12 New Faces of Black Leadership.""",male
Jon Nguyen,Engineer,Jon Nguyen is an award winning aeronautics and graphics engineer at NASA.,male
Jon Ronson,Writer and filmmaker,"Jon Ronson is a writer and documentary filmmaker who dips into every flavor of madness, extremism and obsession.",male
Jonas Gahr Stêªre,Foreign Minister of Norway,"Jonas Gahr Stêªre is the Norwegian Foreign Minister, charged with working for Norway's interests internationally.",male
Jonathan Drori,Educator,"Jonathan Drori commissioned the BBC's very first websites, one highlight in a long career devoted to online culture and educational media _ã and understanding how we learn.",male
Jonathan Foley,Professor,Jonathan Foley studies complex environmental systems and their affects on society. His computer models have shown the deep impact agriculture is having on our planet.,male
Jonathan Haidt,Social psychologist,"Jonathan Haidt studies how _ã and why _ã we evolved to be moral. By understanding more about our moral roots, his hope is that we can learn to be civil and open-minded.",male
Jonathan Harris,"Artist, storyteller, Internet anthropologist",Artist and computer scientist Jonathan Harris makes online art that captures the world's expression _ã and gives us a glimpse of the soul of the Internet.,male
Jonathan Klein,Executive,"Jonathan Klein runs Getty Images, a stock photo agency whose vast archive of still photography and illustrations is a mainstay of the creative class.",male
Jonathan Trent,Scientist and biofuel guru,"Not only does Jonathan Trent grow algae for biofuel, he wants to do so by cleansing wastewater and trapping carbon dioxide in the process. And it_ã_s all solar-powered.",male
Jonathan Zittrain,Net watchdog,Jonathan Zittrain wants to make sure the electronic frontier stays open _ã and he's looking to the Internet's millions of users for its salvation.,male
Jorge Soto,Cancer technologist,"Jorge Soto is helping develop a simple, noninvasive test that identifies cancer.",male
Jose Miguel Sokoloff,Anti-guerrilla creative,Ad exec Jose Miguel Sokoloff has led a multi-year marketing campaign that's helped Colombian guerrillas realize that they are wanted back home.,male
Joseph DeSimone,"Chemist, inventor","The CEO of Carbon3D, Joseph DeSimone has made breakthrough contributions to the field of 3D printing.",male
Joseph Kim,North Korean refugee,"Joseph Kim escaped alone from North Korea at the age of 16, first to China and then to the United States.",male
Joseph Lekuton,Kenyan MP,"A teacher, writer and member of the Kenyan parliament, Joseph Lekuton has an inspiring vision for Kenya.",male
Joseph Nye,Diplomat,"The former assistant secretary of defense and former dean of Harvard's Kennedy School of Government, Joseph Nye offers sharp insights into the way nations take and cede power.",male
Joshua Foer,Writer,Joshua Foer is a science writer who 'accidentally' won the U.S. Memory Championship.,male
Joshua Prager,Journalist,Joshua Prager_ã_s journalism unravels historical secrets _ã and his own.,male
Joshua Prince-Ramus,Architect,"Joshua Prince-Ramus is best known as architect of the Seattle Central Library, already being hailed as a masterpiece of contemporary culture. Prince-Ramus was the founding partner of OMA New York_ãthe American affiliate of the Office for Metropolitan Architecture (OMA) in the Netherlands_ãand served as its Principal until he renamed the firm REX in 2006.",male
Joshua Roman,Cellist,"Joshua Roman, a TED Fellow, is an independent-minded cellist.",male
Joshua Silver,Optical innovator,"Atomic physicist Joshua Silver invented liquid-filled optical lenses to produce low-cost, adjustable glasses, giving sight to millions without access to an optometrist.",male
Joshua Walters,"Comedian, activist","Joshua Walters is a bipolar comedian whose work explores language, creativity, beatboxing and madness ...",male
JP Rangaswami,Technologist,JP Rangaswami thinks deeply (and hilariously) about disruptive data.,male
Juan Enriquez,Futurist,"Juan Enriquez thinks and writes about profound changes that genomics will bring in business, technology, and society.",male
Judson Brewer,Mindful addiction doctor,Psychiatrist and addiction expert Judson Brewer researches mindfulness techniques that effectively help quell cravings of all kinds.,male
Julian Assange,Whistleblower,"Internet activist Julian Assange serves as spokesperson for WikiLeaks, a controversial, volunteer-driven website that publishes and comments on leaked documents alleging government and corporate misconduct.",male
Julian Baggini,Philosopher,Julian Baggini is a journalist and philosopher who studies the complexities of personal identity. He is the editor-in-chief of the Philosophers' Magazine.,male
Julian Treasure,Sound consultant,Julian Treasure studies sound and advises businesses on how best to use it.,male
Justin Hall-Tipping,Science entrepreneur,Justin Hall-Tipping works on nano-energy startups _ã mastering the electron to create power. ,male
Kailash Satyarthi,Children_ã_s rights activist,2014 Nobel Peace Prize winner Kailash Satyarthi is a tireless activist fighting to protect the rights of voiceless children everywhere. ,male
Kamal Meattle,Business owner and activist,"With its air-filtering plants and sustainable architecture, Kamal Meattle's office park in New Delhi is a model of green business. Meattle himself is a longtime activist for cleaning up India's air.",male
Kang Lee,Developmental researcher,Kang Lee has devoted his career to understanding the development of social cognition and behavior.,male
Kartick Satyanarayan,Wildlife conservationist ,Kartick Satyanarayan works tirelessly to save India_ã_s wild animals from illegal captivity and poaching _ã most notably rescuing hundreds of _ãdancing_ã bears. ,male
Kary Mullis,Biochemist,"Kary Mullis won the Nobel Prize in Chemistry for developing a way to copy a strand of DNA. (His technique, called PCR, jump-started the 1990s' biorevolution.) He's known for his wide-ranging interests _ã and strong opinions.",male
Kees Moeliker,Ornithologist,"Kees Moeliker writes and speaks about natural history, especially birds and remarkable animal behavior, as well as improbable research and science-communication-with-a-laugh.",male
Keith Barry,Magician,"Think of Keith Barry as a hacker of the human brain _ã writing routines that exploit its bugs and loopholes, and offering a revealing look at the software between our ears.",male
Keller Rinaudo,Robotics entrepreneur,"Keller Rinaudo is the co-founder and CEO of Romotive _ã makers of the small, covetable robot, Romo.",male
Ken Goldberg,Roboticist,"Ken Goldberg works reflect the intersection of robotics, social media, and art.",male
Ken Jennings,Know-it-all,"Ken Jennings holds the record for most consecutive wins on the classic American trivia game show, Jeopardy.",male
Ken Kamler,Adventure physician ,"Ken Kamler has served as doctor on some of the world_ã_s most daring expeditions, but also performs delicate microsurgery when at home in New York. ",male
Kenichi Ebina,Dancer,"2013 ""America's Got Talent"" winner Kenichi Ebina blends hip-hop, martial arts, modern dance, magic and a blast of pop culture in his mesmerizing performances.",male
Kenneth Cukier,Data Editor of The Economist,"Kenneth Cukier is the Data Editor of The Economist. From 2007 to 2012 he was the Tokyo correspondent, and before that, the paper_ã_s technology correspondent in London, where his work focused on innovation, intellectual property and Internet governance. Kenneth is also the co-author of Big Data: A Revolution That Will Transform How We Live, Work, and Think with Viktor Mayer-Schê_nberger in 2013, which was a New York Times Bestseller and translated into 16 languages.",male
Kenneth Lacovara,Paleontologist,"In his quest to understand the largest dinosaurs to have walked the Earth, Lacovara blends exploration with the latest imaging and modeling techniques from engineering to medicine.",male
Kenneth Shinozuka,Smart product inventor,Kenneth Shinozuka designs smart products ... He's been doing so since he was in kindergarten.,male
Kent Larson,Architect,Kent Larson designs new technologies that solve the biggest questions facing our cities.,male
Kevin Allocca,YouTube trends manager,Kevin Allocca watches YouTube videos. For his job.,male
Kevin Bales,Anti-slavery activist,"Kevin Bales is the co-founder of Free the Slaves, whose mission is to end all forms of human slavery within the next 25 years. He's the author of ""Ending Slavery: How We Free Today's Slaves.""",male
Kevin Breel,"Comedian, activist","Writer, comic and mental health activist Kevin Breel speaks up about depression.",male
Kevin Briggs,Golden Gate guardian,"As a member of the California Highway Patrol with assignments including patrolling the Golden Gate Bridge, Sergeant Kevin Briggs and his staff are the last barriers between would-be suicides and the plunge to near-certain death.",male
Kevin Kelly,Digital visionary,"Kevin Kelly has been publisher of the Whole Earth Review, exec editor at WIRED, founder of visionary nonprofits, and writer on biology and business and ""cool tools."" He's admired for his new perspectives on technology and its relevance to history, biology and religion.",male
Kevin Rudd,International relations expert ,"While studying future alternatives for China_ã_s global relations, former Australian Prime Minister Kevin Rudd has come to an ominous conclusion: conflict is looming.",male
Kevin Stone,"Surgeon, inventor","Kevin Stone's clinic treats joint injury using the latest in bio-medicine: reconstructing damaged tissue, even replacing whole joint parts, with lab-grown cartilage and ligament.",male
Kirby Ferguson,Filmmaker and Remixer,"Kirby Ferguson explores creativity in a world where ""everything is a remix.""",male
Kirk Citron,Media expert ,"Kirk Citron began his career as a fast-rising advertising executive, but now writes and provides media consultation for select non-profits.",male
Raghava KK,Artist,"Raghava KK's paintings and drawings use cartoonish shapes and colors to examine the body, society, our world. ",male
Knut Haanaes,Strategist,"BCG's Knut Haanaes believes that the secret to creating lasting, impactful companies is to find a balance between doing what you're good at and looking for new challenges to take on.",male
Kwabena Boahen,Bioengineer,"Kwabena Boahen wants to understand how brains work _ã and to build a computer that works like the brain by reverse-engineering the nervous system. His group at Stanford is developing Neurogrid, a hardware platform that will emulate the cortex_ã_s inner workings.",male
Lalitesh Katragadda,Engineer,Lalitesh Katragadda builds tools that help groups of people compile information to build something greater than the sum of its parts. His latest fascination: collaborative maps.,male
Larry Brilliant,"Epidemiologist, philanthropist","2006 TED Prize winner Dr. Larry Brilliant has spent his career solving the ills of today _ã from overseeing the last smallpox cases to saving millions from blindness _ã and building technologies of the future. Now, as President and CEO of the Skoll Global Threats Fund , he's redefining how we solve the world's biggest problems.",male
Larry Burns,Automotive researcher,Larry Burns is the vice president of R&D for GM. His job? Find a new way to power cars. ,male
Lawrence Lessig,Legal activist,Lawrence Lessig has already transformed intellectual-property law with his Creative Commons innovation. Now he's focused on an even bigger problem: The US' broken political system.,male
Larry Smith,"Professor of Economics, University of Waterloo","A professor of economics at the University of Waterloo in Canada, Larry Smith coaches his students to find the careers that they will truly love.",male
Latif Nasser,Radio researcher,"Latif Nasser is the director of research at Radiolab, where he has reported on such disparate topics as culture-bound illnesses, snowflake photography, sinking islands and 16th-century automata.",male
Lee Cronin,Chemist,"A professor of chemistry, nanoscience and chemical complexity, Lee Cronin and his research group investigate how chemistry can revolutionize modern technology and even create life.",male
Lee Smolin,Physicist,"Lee Smolin is a theoretical physicist, working mainly in the field of quantum gravity. He's a founding member of the Perimeter Institute for Theoretical Physics in Canada, and the author of The Trouble With Physics.",male
Lemn Sissay,Poet and playwright,"An award-winning playwright and popular broadcaster in the UK, as well as the author of five poetry books, Lemn Sissay has a way with words. ",male
Lemon Andersen,Poet and actor,Lemon Andersen is a wordsmith who thinks deeply about the sounds of syllables.,male
Lennart Green,Close-up card magician,"Cards that fly all over the table, spill onto the floor, and disappear beneath a laser beam. Welcome to the chaotic and flabbergasting magical world of Lennart Green, grand master of close-up card trickery.",male
Leonard Susskind,Physicist,"Leonard Susskind works on string theory, quantum field theory, quantum statistical mechanics and quantum cosmology at Stanford.",male
Lee Mokobe,Poet,Lee Mokobe is a 20-year-old South African slam poet and co-founder of Vocal Revolutionaries.,male
Lewis Pugh,Coldwater swimmer,"Pushing his body through epic cold-water swims, Lewis Gordon Pugh wants to draw attention to our global climate. He's just back from swimming in a meltwater lake on the slopes of Mount Everest. ",male
Lian Pin Koh,Drones ecologist,Lian Pin Koh expands conservation efforts by championing the use of low-cost autonomous aerial vehicles.,male
Liu Bolin,Artist,Beijing-based artist Liu Bolin silently comments on modern sociopolitical conditions by disappearing into his art.,male
Nicholas Stern,Climate economist,"Lord Nicholas Stern studies the economics of climate change. He is a co-author of the position paper presented to the UN's 2014 Climate Summit, called ""The New Climate Economy.""",male
Louie Schwartzberg,Filmmaker,"Louie Schwartzberg is a cinematographer, director and producer who captures breathtaking images that celebrate life _ã revealing connections, universal rhythms, patterns and beauty.",male
Luca Turin,Nose,"Biophysicist Luca Turin studies the science of smell. He's the author of Perfumes: The Guide, and the subject of Chandler Burr's 2003 book The Emperor of Scent. His next project: developing an artificial nose.",male
Lucien Engelen,Healthcare innovator,Lucien Engelen is a technologist and innovator who is working to put patients into the healthcare team.,male
Ludwick Marishane,Entrepreneur,Student Ludwick Marishane invented a water-less bathing lotion and was named the 2011 Global Student Entrepreneur of the Year Award _ã all because he didn't feel like taking baths.,male
Luis von Ahn,Computer scientist,Luis von Ahn builds systems that combine humans and computers to solve large-scale problems that neither can solve alone.,male
Luke Syson,Curator,"As a curator at the Metropolitan Museum of Art, Luke Syson accesses the richness of European history through sculpture.",male
LZ Granderson,Journalist,"CNN and ESPN columnist LZ Granderson is a celebrated voice on sports, race and gay rights.",male
Maajid Nawaz,Anti-extremism activist,"Maajid Nawaz works to promote conversation, tolerance and democracy in Muslim and non-Muslim communities.",male
Mac Barnett,Children's book author,Mac Barnett is a bestselling author of books for children.,male
Mac Stone,Photographer,"Florida-based photographer Mac Stone specializes in documenting the Everglades, an area he prizes for its wildlife and flora.",male
Magnus Larsson,Dune architect,Magnus Larsson hopes to build new structures in the desert _ã  by using bacteria to turn shifting sand into a solid mass.,male
Malcolm Gladwell,Writer,"Detective of fads and emerging subcultures, chronicler of jobs-you-never-knew-existed, Malcolm Gladwell's work is toppling the popular understanding of bias, crime, food, marketing, race, consumers and intelligence.",male
Malcolm London,"Poet, performer, activist","Young spoken-word poet Malcolm London has been called the ""Gil Scott-Heron of this generation"" (by Cornel West). His feisty, passionate performances take on the issues of the day, including the Chicago education system in which he grew up.",male
Manu Prakash,"Physicist, inventor",Manu Prakash is on a mission to bring radical new technology to global health.,male
Manuel Lima,Data visualization researcher,Manuel Lima studies how information can be organized _ã into elegant and beautiful diagrams that illustrate the many unexpected twists of big data.,male
Marc Abrahams,Science humorist,"Marc Abrahams writes about research that makes people laugh, and then think.",male
Marc Goodman,Global Security Futurist,"Marc Goodman works to prevent future crimes and acts of terrorism, even those security threats not yet invented.",male
Marc Koska,Inventor,Marc Koska wants to improve health care in the developing world by re-designing dangerous medical tools _ã and offering education to practitioners in under-funded clinics.,male
Marc Kushner,Architect,"With Architizer, an online hub for architecture, Marc Kushner is breaking architecture out of its insular echo chamber and reconnecting the public with buildings.",male
Marc Pachter,Cultural Historian,Marc Pachter has spent his career curating and creating intimate portraits of the lives of others. ,male
Marcel Dicke,Ecological entomologist,"Marcel Dicke wants us to reconsider our relationship with insects, promoting bugs as a tasty _ã and ecologically sound _ã alternative to meat in an increasingly hungry world.",male
Marcin Jakubowski,Farmer and technologist,"Marcin Jakubowski is open-sourcing a set of blueprints for 50 farming tools that can be built cheaply from scratch. Call it a ""civilization starter kit.""",male
Marco Annunziata,Economist,"The Chief Economist at General Electric, Marco Annunziata is a financial virtuoso with a passion for technology.",male
Marco Tempest,Techno-illusionist,"A magician and illusionist for the 21st century, Marco Tempest blends cutting-edge technology with the flair and showmanship of Houdini.",male
Marcus du Sautoy,Mathematician,"Oxford's newest science ambassador Marcus du Sautoy is also author of The Times' Sexy Maths column. He'll take you footballing with prime numbers, whopping symmetry groups, higher dimensions and other brow-furrowers.",male
Mark Applebaum,Composer,"Mark Applebaum has built an instrument out of doorstops and combs, as well as composed a piece of music to be performed by a florist.",male
Mark Bezos,"Activist, volunteer firefighter","Mark Bezos works at Robin Hood, a poverty-fighting charity in New York City, and the assistant captain of a volunteer fire company in suburban New York.",male
Mark Bittman,Food writer,"Mark Bittman is a bestselling cookbook author, journalist and television personality. His friendly, informal approach to home cooking has shown millions that fancy execution is no substitute for flavor and soul.",male
Mark Forsyth,Writer,"Mark Forsyth strolls through the English language, telling stories, making connections and banishing hobgoblins.",male
Mark Kendall,Biomedical engineer,Mark Kendall aims to shake up how vaccines are delivered with the Nanopatch.,male
Mark Pagel,Evolutionary biologist,"Using biological evolution as a template, Mark Pagel wonders how languages evolve.",male
Mark Plotkin,Amazonian ethnobotanist,As fast as the rainforest is disappearing _ã the people of the rainforest are disappearing even faster. Mark Plotkin works to preserve generations of knowledge.,male
Mark Ronson,Music producer and DJ,"His production credits range from Amy Winehouse to Paul McCartney _ã ace DJ, musician and producer Mark Ronson has lived recent music history from the inside out.",male
Mark Shaw,Macroencapsulator,"Mark Shaw develops technologies to contain hazardous waste, storm water and radioactives. ",male
Mark Z. Jacobson,Civil and environmental engineer,"At Stanford, Mark Z. Jacobson uses numerical models to study the effects of energy systems and vehicles on climate and air pollution, and to analyze renewable energy resources.",male
Markus Fischer,Designer,Markus Fischer led the team at Festo that developed the first ultralight artificial bird capable of flying like a real bird.,male
Martin Hanczyc,Chemist,"Martin Hanczyc explores the path between living and nonliving systems, using chemical droplets to study behavior of the earliest cells.",male
Martin Jacques,"Writer, columnist","Martin Jacques is the author of ""When China Rules the World,"" and a columnist for the Guardian and New Statesman. He was a co-founder of the think tank Demos.",male
Martin Pistorius,"Author, designer","At age 12, Martin Pistorius fell into a coma, and spent 13 years locked inside his body, unable to communicate _ã until a caregiver noticed his eyes responded to her. His book ""Ghost Boy"" tells his story.",male
Martin Seligman,Psychologist,"Martin Seligman is the founder of positive psychology, a field of study that examines healthy states, such as happiness, strength of character and optimism.",male
Martin Villeneuve,"Graphic artist, director","In his film ""Mars et Avril,"" Martin Villeneuve brings his sci-fi romance graphic novel to glorious life.",male
Marvin Minsky,AI pioneer,"Marvin Minsky is one of the great pioneers of artificial intelligence _ã and using computing metaphors to understand the human mind. His contributions to mathematics, robotics and computational linguistics are legendary and far-reaching.",male
Mathieu Lehanneur,Designer,"Kitchen-sized fish farms, living air purifiers and devices that turn old water bottles into martini shakers all spring from the form-and-function-fusing mind of designer Mathieu Lehanneur.",male
Matt Cutts,Technologist,"Matt Cutts is an engineer at Google, where he fights linkspam and helps webmasters understand how search works.",male
Matt Kenyon,New media artist,"From a plant that lives or dies based on stock prices to an oilcan that flows backward, Matt Kenyon creates art that startles, amuses and challenges assumptions.",male
Matt Killingsworth,Happiness researcher,"Researcher Matt Killingsworth designs studies that gather data on happiness. One takeaway? ""A Wandering Mind Is an Unhappy Mind.""",male
Matt Ridley,Rational optimist,"Matt Ridley argues that, through history, the engine of human progress and prosperity has been, and is, ""ideas having sex with each other.""",male
Matthew Carter,Type designer,"Even if you don_ã_t recognize his name, chances are you_ã_ve seen Matthew Carter_ã_s work _ã his type designs include some of the world_ã_s most familiar digital typefaces.",male
Matthew Childs,"Marketer, rock climber",Matthew Childs is an advertising lead at Razorfish. He is a lifelong rock climber and climbing guide.,male
Matthew Williams,Special Olympics International Sargent Shriver Global Messenger,Matthew Williams believes that sport has the power to change lives.,male
Matthieu Ricard,"Monk, author, photographer","Sometimes called the ""happiest man in the world,"" Matthieu Ricard is a Buddhist monk, author and photographer.",male
Maurizio Seracini,Art diagnostician,Maurizio Seracini uses advanced tools common in engineering and medical labs to unravel centuries-old mysteries of art.,male
Max Little,Applied mathematician,Max Little is a mathematician whose research includes a breakthrough technique to monitor _ã_ and potentially screen for _ã_ Parkinson's disease through simple voice recordings.,male
Eduardo Paes,Mayor of Rio de Janeiro,Mayor Eduardo Paes is on a mission to ensure that Rio's renaissance creates a positive legacy for all its citizens.,male
Maz Jobrani,Comedian,"A founding member of the Axis of Evil Comedy Tour, Iranian-American comedian Maz Jobrani is now touring with his second solo comedy show, Browner and Friendlier.",male
Mechai Viravaidya,Public health expert,"Since 1974, Mechai Viravaidya has been creating and running innovative family planning and poverty reduction programs throughout Southeast Asia. ",male
Meron Gribetz,"Founder and CEO, Meta","At Meta, Meron Gribetz is leading an effort to produce and sell augmented reality glasses with natural gestural hand recognition.",male
Michael Anti,Blogger,"Michael Anti (Zhao Jing), a key figure in China's new journalism, explores the growing power of the Chinese internet.",male
Mike Biddle,Plastics recycler,"Discarded plastic, too often, ends up buried or burned, not recycled (it's just too complicated). But Mike Biddle has found a way to close the loop.",male
Michael Green,Architect,Michael Green wants to solve architecture_ã_s biggest challenge _ã meeting worldwide housing demand without increasing carbon emissions _ã by building with carbon-sequestering wood instead of concrete and steel.,male
Michael Hansmeyer,Computational architect,Michael Hansmeyer is an architect and programmer who explores the use of algorithms and computation to generate architectural form.,male
Michael Kimmel,Sociologist,"The author of ""Angry White Men,"" Michael Kimmel is a pre-eminent scholar of men and masculinity.",male
Michael McDaniel,Graphic designer,Michael McDaniel is a graphic designer using his skills to help people in meaningful ways. ,male
