author,occupation,description,gender
Brenê© Brown,Vulnerability researcher,"Brenê© Brown studies vulnerability, courage, authenticity, and shame.",female
Britta Riley,"Artist, urban farmer",Britta Riley designs and builds urban farms  and other participatory artworks that explore the city.,female
C. Noel Bairey Merz,Physician,"C. Noel Bairey Merz is director of the Women's Heart Center at the Cedars-Sinai Heart Institute, where she is a professor of medicine.",female
Caitria O'Neill,Disaster relief expert,"When a freak tornado hit her Massachusetts hometown, Caitria O_ã_Neill wasn't an expert in disaster relief recovery. But she learned quickly and is now passing her knowledge on through the website Recovers.org.",female
Cameron Russell,Model,"Cameron Russell has stomped the runways for Victoria's Secret and Chanel, and has appeared in many magazines. But she is much more than just a pretty face.",female
Camille Seaman,Photographer,TED Senior Fellow Camille Seaman photographs big ice and big clouds.,female
Carmen Agra Deedy,Storyteller,"Carmen Agra Deedy's luminous, funny, digressive tales of childhood and adulthood bring out the starry-eyed listener in us all.",female
Carol Cohen,"CEO and co-founder, iRelaunch",Carol Fishman Cohen documents successful transitions back into the workforce after career breaks.,female
Caroline Lavelle,Cellist; singer-songwriter,"Equally talented on cello and vocals, Caroline Lavelle has created a performance style all her own. Her expansive talents, channeling the best of both classical and contemporary influences, have earned her comparisons to both Kate Bush and Jacqueline du Prê©. ",female
Caroline Phillips,Musician,"Caroline Phillips' rich, soprano voice conjures up the far-and-wide cultures of the world, especially the sound and language of the Basque Country.",female
Carolyn Porco,Planetary scientist,"As the leader of the Imaging Team on the Cassini mission to Saturn, Carolyn Porco interprets and shares the pictures coming back from this fascinating planet, its rings and its moons.",female
Catarina Mota,Maker,"A TEDGlobal Fellow, Catarina Mota plays with ""smart materials"" _ã like shape-memory alloys and piezoelectric structures that react to voltage _ã and encourages others to do so too.",female
Catherine Bracy,"Hacker, community manager",Catherine Bracy is the director of community organizing at Code for America.,female
Catherine Crump,Attorney + privacy advocate,Catherine Crump is an assistant clinical professor at Berkeley Law School who focuses on the laws around data and surveillance.,female
Catherine Mohr,Roboticist,"Catherine Mohr works on surgical robots and robotic surgical procedures, using robots to make surgery safer _ã and to go places where human wrists and eyes simply can't.",female
Celeste Headlee,Writer and radio host,Celeste Headlee's years of interview experience give her a unique perspective on what makes for a good conversation.,female
Charity Tillemann-Dick,Soprano,"Charity Tillemann-Dick is a soprano who has appeared on opera and concert stages around the world. Her roles have included Titania in ""A Midsummer's Night Dream,"" Gilda in ""Rigoletto"" and Violetta in ""La Traviata.""",female
Chelsea Shields,"Activist, anthropologist, consultant","Chelsea Shields is a biocultural anthropologist, a research and strategy consultant, and an outspoken activist for women's rights.",female
Chieko Asakawa,Visionary inventor,Dr. Chieko Asakawa invents technology to make the visually impaired more independent.,female
Chimamanda Ngozi Adichie,Novelist,"Inspired by Nigerian history and tragedies all but forgotten by recent generations of westerners, Chimamanda Ngozi Adichie_ã_s novels and stories are jewels in the crown of diasporan literature. ",female
Christiana Figueres,Climate advocate,"Christiana Figueres is the executive secretary of the United Nations Framework Convention on Climate Change (UNFCCC), who led the recent COP 21 climate talks in Paris.",female
Christien Meindertsma,Artist,Christien Meindertsma uses art (and craft) to expose the hidden processes and connections of our modern life.,female
Christina Warinner,Archaeological geneticist,"Christina Warinner is a researcher at the University of Zurich, where she studies how humans have co-evolved with environments, diets and disease.",female
Christine Sun Kim,"Sound artist, composer","Through visual art, composition and performance, Christine Sun Kim explores ways of transmuting sound and silence.",female
Chrystia Freeland,Plutocracy chronicler,"In ""Plutocrats,"" Chrystia Freeland explores the growing gap between the working poor and the increasingly disconnected mega-rich.",female
Claron McFadden,Soprano,"Amsterdam-based singer Claron McFadden sings many of the major oratorio works, but is perhaps best known for her readings of modern and contemporary music.",female
Courtney E. Martin,Writer and entrepreneur,Courtney E. Martin_ã_s work has two obsessions at its core: storytelling and solutions. ,female
Cristina Domenech,Poet and educator,Cristina Domenech proposes to use language as an instrument of liberation and as a way to change the world.,female
Cynthia Breazeal,Roboticist ,"At MIT, Cynthia Breazeal and her team are building robots with social intelligence that communicate and learn the same way people do. ",female
Cynthia Kenyon,"Biochemist, geneticist","When it comes to aging well, having _ãgood genes_ã (or rather, mutant ones) is key, says Cynthia Kenyon. She unlocked the genetic secret of longevity in roundworms _ãÔ_and now she_ã_s working to do the same for humans.",female
Cynthia Schneider,Cultural diplomacy expert,"Cynthia Schneider studies culture and politics _ã watching how novels, TV shows and cultural engagement around the globe (and especially within the Muslim world) might lead to political change. She was the US ambassador to the Netherlands from 1998 to 2001.",female
Dalia Mogahed,Muslim studies scholar,"Researcher and pollster Dalia Mogahed is an author, advisor and consultant who studies Muslim communities.",female
Dambisa Moyo,Global economist ,Dambisa Moyo is an international economist who analyzes the macroeconomy and global affairs.,female
Dame Stephanie Shirley,Entrepreneur and philanthropist,"In 1962, Dame Stephanie ""Steve"" Shirley founded Freelance Programmers, a software firm with innovative work practices _ã and (mainly) women employees.",female
Danielle de Niese,Soprano,"Her voice described as a _ãsweet gleaming soprano,_ã Danielle de Niese breathes new life into opera, astonishing critics and making audiences sit up and listen.  ",female
Danielle Feinberg,"Director of photography, Pixar","At Pixar, Danielle Feinberg delights in bending the rules of light to her every whim.",female
Danit Peleg,Fashion designer,Danit Peleg created the first 3D-printed fashion collection printed entirely using home printers.,female
Daphne Bavelier,Cognitive researcher,"Daphne Bavelier studies how the brain adapts to changes in experience, either by nature or by training.",female
Daphne Koller,Educator,"With Coursera, Daphne Koller and co-founder Andrew Ng are bringing courses from top colleges online, free, for anyone who wants to take them.",female
Daria van den Bercken,Pianist,"Daria van den Bercken has played piano with major Dutch orchestras, and performed many a recital in her country_ã_s famed concert halls. But her larger vision is to bring classical music to the masses.",female
Dawn Landes,Singer-songwriter,"Dawn Landes, with her bright, supple voice and her restless imagination, is drawn to create and collaborate. A master of singer-songwriter pop, she is now writing a musical called ""Row.""",female
Deborah Gordon,Ecologist,"By studying how ant colonies work without any one leader, Deborah Gordon has identified striking similarities in how ant colonies, brains, cells and computer networks regulate themselves.",female
Deborah Rhodes,"Physician, cancer researcher",Deborah Rhodes is an expert at managing breast-cancer risk. The director of the Mayo Clinic_ã_s Executive Health Program is now testing a gamma camera that can see tumors that get missed by mammography.,female
Debra Jarvis,Chaplain + author,"Debra Jarvis isn't your typical hospital chaplain. With wry wit, she aims to comfort patients _ã and also challenge them.",female
Del Harvey,Security maven,Del Harvey is the VP of Trust & Safety at Twitter.,female
Diana Laufenberg,Educator,"For over 15 years Diana has been a secondary social studies teacher in Wisconsin, Kansas, Arizona and Pennsylvania.",female
Diana Nyad,"Journalist, swimmer","A record-setting long-distance swimmer, Diana Nyad writes and thinks deeply about motivation.",female
Diane Benscoter,Deprogrammer,"Diane Benscoter, an ex-Moonie, is now invested in finding ways to battle extremist mentalities and their potentially deadly consequences.",female
Diane Kelly,Biologist,"Diane Kelly studies vertebrate anatomy, in particular the connection between the design and the function of reproductive organs.",female
Dianna Cohen,Artist and activist,"Dianna Cohen co-founded the Plastic Pollution Coalition, which is working to help end our cycle of plastics use.",female
Doris Kearns Goodwin,Historian,"Doris Kearns Goodwin writes insightful books on the US Presidency (JFK, LBJ, FDR and Lincoln, so far), telling each president's personal story against the backdrop of history.",female
Dorothy Roberts,"Professor, author and social justice advocate","Global scholar, University of Pennsylvania civil rights sociologist and law professor Dorothy Roberts exposes the myths of race-Ô_based medicine.",female
Dr. Hawa Abdi + Dr. Deqo Mohamed,Somali doctors who treat women refugees,"Dr. Hawa Abdi and her daughters, Dr. Deqo Mohamed and Dr. Amina Mohamed, treat Somali refugee women and children, often for free.",female
Dyan deNapoli,Penguin expert,"Call her ""the Penguin Lady."" Dyan deNapoli educates the world about these fascinating birds.",female
Edith Widder,Marine biologist,Edith Widder combines her expertise in research and technological innovation with a commitment to stopping and reversing the degradation of our marine environment. ,female
Einstein the Parrot,African grey parrot,"Einstein, the African grey parrot, has a vocabulary of more than 200 words and sounds; she can perform nearly half on cue. ",female
Elaine Morgan,Aquatic ape theorist,"Elaine Morgan, armed with an arsenal of television writing credits and feminist credentials, spent her life on a mission to prove humans evolved in water. ",female
Eleanor Longden,Research psychologist,Eleanor Longden overcame her diagnosis of  schizophrenia to earn a master_ã_s in psychology and demonstrate that the voices in her head were _ãa sane reaction to insane circumstances._ã,female
Eleni Gabre-Madhin,Economist,"Eleni Gabre-Madhin is working to build Ethiopia's first commodities market. Re-establishing the profit motive for farmers, she believes, could help turn the world's largest recipient of food aid into a regional food basket.",female
Elif Shafak,Novelist,"Elif Shafak explicitly defies definition _ã her writing blends East and West, feminism and tradition, the local and the global, Sufism and rationalism, creating one of today's most unique voices in literature.",female
Elizabeth Gilbert,Writer,"The author of 'Eat, Pray, Love,' Elizabeth Gilbert has thought long and hard about some big topics. Her fascinations: genius, creativity and how we get in our own way when it comes to both.",female
Elizabeth Lesser,"Writer, healer","For more than three decades, Elizabeth Lesser has worked with leading figures in the field of healing self and society.",female
Elizabeth Lev,Art historian,"Elizabeth Lev's experience studying and teaching art has led her to believe that when we encounter something beautiful, we are made vulnerable and opened to the truth.",female
Elizabeth Lindsey,"Explorer, ethnographer",Elizabeth Lindsey is a fellow of the National Geographic Society. Her mission: to keep ancestral voices alive by recording indigenous wisdom and traditions.,female
Elizabeth Murchison,Cancer researcher,Elizabeth Murchison studies a mysterious (and contagious) cancer that threatens to wipe out Tasmanian devils.,female
Elizabeth Nyamayaro,Political scientist,"Elizabeth Nyamayaro is the Senior Advisor to the Under Secretary-General and Executive Director of UN Women, as well as head of UN Women's blockbuster HeForShe initiative.",female
Elizabeth Pisani,Author,"In Elizabeth Pisani's latest book, she explores the ""improbable nation"" of Indonesia.",female
Ellen Dunham-Jones,Architect,Ellen Dunham-Jones takes an unblinking look at our underperforming suburbs _ã and proposes plans for making them livable and sustainable.,female
Ellen Jorgensen,Biologist and community science advocate,"Ellen Jorgensen is at the leading edge of the do-it-yourself biotechnology movement, which brings scientific exploration and understanding to the masses.",female
Dame Ellen MacArthur,Circular economy advocate,"After setting a record for sailing around the world, Dame Ellen MacArthur has turned her attention toward creating a more ""circular"" economy _ã where resources and power recirculate and regenerate.",female
Ellen 't Hoen,Medicine law expert,"The founder of the Medicines Patent Pool, Ellen 't Hoen works (and makes change) at the place where profit and health collide: patented drugs.",female
Elora Hardy,Sustainable designer,"Cultivating the power of sustainable materials, Elora Hardy leads _ã¾_ã¾Ibuku, creating_ã¾ _ã¾_ã¾bespoke_ã¾ _ã¾bamboo homes in her native Bali.",female
Elyn Saks,Mental health law scholar,Elyn Saks asks bold questions about how society treats people with mental illness.,female
Emilie Wapnick,"Writer, coach, artist ...","Career coach Emilie Wapnick celebrates the ""multipotentialite"" _ã those of us with many interests, many jobs over a lifetime, and many interlocking potentials.",female
Emily Balcetis,Psychologist,"Social psychologist Emily Balcetis explores perception, motivation, goal-setting and decision-making from conscious and nonconscious levels.",female
Emily Levine,Philosopher-comic,"Humorist, writer and trickster Emily Levine riffs on science and the human condition.",female
Emily Oster,Assumption-busting economist,"Emily Oster, a University of Chicago economist, uses the dismal science to rethink conventional wisdom, from her Harvard doctoral thesis that took on famed economist Amartya Sen to her recent work debunking assumptions on HIV prevalence in Africa.",female
Erica Frenkel,Medical technologist,"At Gradian Health Systems, Erica Frenkel works to bring safe anesthesia to hospitals all over the world.",female
Erin McKean,Dictionary editor,"As the co-founder of Reverb Technologies, the maker of the online dictionary Wordnik, Erin McKean is reshaping how we interact with language itself.",female
Esta Soler,Violence and abuse prevention expert,"In 1994, Esta Soler was among the key advocates for a US law to combat the devastating effects of violence against women. Today, her mission is global.",female
Esther Perel,Relationship therapist,"In her practice and writing, Esther Perel helps loving couples navigate between the comfort of happy relationships and the thrilling uncertainty of sexual attraction. ",female
Eva Vertes,Neuroscience and cancer researcher,"Eva Vertes is a microbiology prodigy. Her discovery, at age 17, of a compound that stops fruit-fly brain cells from dying was regarded as a step toward curing Alzheimer's. Now she aims to find better ways to treat _ã and avoid _ã cancer.",female
Eva Zeisel,Designer,"The legendary Eva Zeisel worked as a ceramics designer _ã whose curvy, sensual pieces bring delight and elegance to tabletops around the world.",female
Evelyn Glennie,Musician,"Percussionist and composer Dame Evelyn Glennie lost nearly all of her hearing by age 12. Rather than isolating her, it has given her a unique connection to her music.",female
Faith Jegede,Writer,Writer Faith Jegede draws on her experiences growing up with two autistic brothers in order to spread awareness and understanding about this increasingly common diagnosis.,female
Frances Larson,Anthropologist,Frances Larson explores the dark and varied obsessions that our culture has had with decapitated heads and skulls throughout history. ,female
Gayle Tzemach Lemmon,Reporter,Gayle Tzemach Lemmon writes about women around the world living their lives at war and in conflict zones.,female
Geena Rocero,Model and activist,Geena Rocero is a professional model for fashion and beauty companies around the world. And she uses her platform to share a powerful story.,female
Genevieve von Petzinger,Paleoanthropologist and rock art researcher,Genevieve von Petzinger studies the geometric signs found in early European Ice Age rock art sites.,female
Georgette Mulheir,"CEO, Lumos",Georgette Mulheir is a pioneer for the movement to end child abuse in the form of orphanages.,female
Geraldine Hamilton,Bio researcher,"Geraldine Hamilton builds organs and body parts on a chip _ã to test new, custom cures.",female
Haley Van Dyck,Disrupter,Haley Van Dyck is building a startup at the White House and recruiting world-class technology talent to change how government works for the American people. ,female
Halla Tomasdottir,"Change agent, financial services","Halla Tomasdottir, co-founder of Audur Capital financial services, has been instrumental in rebuilding Iceland_ã_s economy since its collapse in 2008. Her passion is releasing the incredible economic potential of women_ã_s ways of doing business.",female
Hanna Rosin,Journalist,"Hanna Rosin isn_ã_t afraid to shine a skeptical spotlight on people_ã_s cherished ideals, whether it_ã_s politically correct dogma or the conservative Christian agenda.",female
Hannah Brencher,Letter enthusiast,"Hannah Brencher believes in the power of pen and paper, and has started a global initiative that encourages strangers to exchange love letters.",female
Hannah Fry,Complexity theorist,Hannah Fry researches the trends in our civilization and ways we can forecast its future.,female
Heather Brooke,Journalist,"Heather Brooke campaigns for freedom of information, requesting one secret document at a time.",female
