,subject,verb,object
387,i,took,"[pictures, things]"
388,they,wanted,"[that, memories]"
389,i,started,"[taking, these, pictures]"
390,conference,asked,[me]
391,i,showing,[sides]
392,i,cut,[donkey]
393,i,put,[photographs]
394,they,were,"[photographs, to, be, taken, down]"
395,they,had,"[to, be, taken, down]"
396,i,saw,[power]
397,i,wanted,"[to, use, photography, and, film, to, somehow, bridge, gaps, ,, to, bridge, cultures, ,]"
398,what,started,[me]
399,i,did,[stint]
400,i,made,[film]
401,i,done,[couple]
402,i,watching,[television]
403,i,seemed,"[to, be, just, one, point, of, view, that, was, coming, across]"
404,coverage,went,"[television, to, be, just, one, point, of, view, that, was, coming, across]"
405,iraqis,greeting,[americans]
406,iraqis,throwing,[flowers]
407,that,taking,[place]
408,people,supposed,"[how, to, communicate, with, each, other, when, they, 're, getting, completely, different, messages]"
409,they,getting,[messages]
410,other,told,[what]
411,people,supposed,"[how, to, have, any, kind, of, common, understanding, or, know, how, to, move, together, into, the, future]"
412,i,had,"[to, go, there]"
413,i,wanted,"[to, be, in, the, center]"
414,i,had,[plan]
415,i,had,[funding]
416,i,have,[camera]
417,somebody,bring,[it]
418,i,wanted,"[to, get, access, to, al, jazeera, ,, george, bush, 's, favorite, channel, ,, and, a, place, which, i, was, very, curious, about, because, it, 's, disliked, by, many, governments, across, the, arab, world, ,]"
419,it,disliked,[governments]
420,i,called,[mouthpiece]
421,people,has,"[to, be, doing, something, right]"
422,i,got,"[to, go, see, what, this, is, all, about]"
423,i,wanted,"[to, go, see, central, command, ,, which, was, 10, minutes, away]"
424,i,get,[access]
425,i,went,[people]
426,i,sat,[people]
427,i,met,[people]
428,i,met,[people]
429,i,like,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody]"
430,you,film,[them]
431,you,listen,[them]
432,you,allow,[them]
433,i,offered,[job]
434,i,take,[it]
435,i,have,[dream]
436,i,have,[plans]
437,they,finish,[school]
438,i,send,[them]
439,jazeera,showed,[them]
440,they,showed,"[pows, soldiers]"
441,america,show,[kinds]
442,most,show,[images]
443,this,showed,[soldiers]
444,what,hit,[me]
445,jazeera,shown,[images]
446,i,remember,"[having, seen, it, in, the, al, jazeera, office, ,]"
447,it,affect,[me]
448,me,realizing,"[way, me]"
449,i,saw,[people]
450,people,felt,[way]
451,it,upset,[me]
452,me,hate,[war]
453,i,overwhelmed,[response]
454,we,had,[funding]
455,we,showed,[film]
456,we,had,[reactions]
457,people,moved,[film]
458,i,showed,[film]
459,people,wanted,"[to, meet, josh]"
460,he,redefined,[us]
461,people,started,"[to, ask, me, ,, "", where, is, this, guy, now]"
462,jazeera,offered,[job]
463,it,brought,[complexities]
464,world,has,[that]
465,i,blown,[motivations]
466,they,see,[film]
467,we,feel,[power]
468,we,need,"[to, —, we, feel, like, we, have, to, get, the, power, to, change, things]"
469,we,have,"[to, get, the, power, to, change, things]"
470,i,saw,[this]
471,i,saw,[anger]
472,you,understand,[anger]
473,you,see,"[people, victims]"
474,we,get,[anger]
475,person,thinking,[what]
476,film,change,[world]
477,i,know,[power]
478,it,starts,[people]
479,film,speak,[you]
480,film,take,[you]
481,film,has,[ability]
482,clips,take,[you]
483,someone,make,[sacrifice]
484,we,had,[airplanes]
485,we,need,[martyrs]
486,we,have,[paradise]
487,god,forgive,[you]
488,i,have,[paradise]
489,one,chooses,[bitterness]
490,we,win,[way]
491,you,doing,[what]
492,doing,destroying,[us]
493,you,give,[alibi]
494,we,have,"[to, turn, it, into, a, moral, war]"
495,israel,has,[morals]
496,aviv,called,[me]
497,you,know,[what]
498,we,have,[information]
499,they,said,[video]
500,bethlehem,occupied,"[territories, george]"
501,we,saw,"[military, jeeps]"
502,they,opened,[fire]
503,families,forum,[tzvika]
504,i,have,[assistants]
505,george,join,[forum]
506,i,thought,[forum]
507,i,find,[reason]
508,that,touched,[me]
509,who,suffered,[lot]
510,who,lost,[children]
511,we,communicated,[that]
512,you,give,[speech]
513,i,tell,[you]
514,you,finish,[song]
515,who,put,[tools]
516,who,demanded,[freedom]
517,everybody,had,[feeling]
518,i,like,"[what, to, talk, about]"
519,we,use,[feeling]
520,we,have,[appreciation]
521,they,have,[appreciation]
522,rushing,ended,"[leaving, the, military, and, taking, a, job, with, al, jazeera]"
523,he,use,[media]
524,i,trying,"[to, think, about, ways, to, give, power, to, these, independent, voices, ,, to, give, power, to, the, filmmakers, ,, to, give, power, to, people, who, are, trying, to, use, film, for, change]"
525,who,trying,"[to, use, film, for, change]"
526,you,heard,[that]
527,who,working,"[process, interviews, film]"
528,who,documenting,[process]
529,who,getting,[interviews]
530,who,using,[film]
531,i,watched,[it]
532,i,blown,"[it, potential]"
533,i,create,[television]
534,we,do,[what]
535,you,have,"[towns, villages, theaters]"
536,which,highlights,[character]
537,that,fighting,"[to, live]"
538,that,defies,[stereotypes]
539,power,used,"[to, change, people, and, to, bond, people, together, to, cross, borders, ,, and, have, people, feel, like, they, 're, having, a, communal, experience]"
540,people,cross,[borders]
541,people,feel,[borders]
542,they,having,[experience]
543,you,have,"[theaters, places]"
544,we,project,[films]
545,you,imagine,"[projecting, from, times, square, to, tahrir, square, in, cairo]"
546,you,imagine,[what]
547,you,project,[films]
548,you,have,[experience]
549,we,create,[it]
550,day,create,[momentum]
551,which,connecting,[voices]
552,challenge,understanding,[other]
553,challenge,having,[respect]
554,film,do,[that]
555,we,get,[all]
556,we,made,[partnership]
557,who,introduced,[me]
558,we,started,"[calling, up, everybody]"
559,that,want,"[to, be, a, part, of, this, global, day, of, film]"
560,we,thought,"[to, share, this, with, you]"
561,i,like,"[to, share, this, with, you]"
562,part,sharing,"[ideas, wishes]"
563,i,invite,[you]
564,we,use,[technology]
565,we,build,[community]
566,communities,working,[community]
567,we,call,"[landmass, pangea]"
568,we,like,"[what, to, call, this, day, of, film]"
569,we,make,[movement]
570,i,know,"[how, to, do, it]"
571,i,know,"[how, to, reach, out, to, somebody, 's, heart, and, soul, all, across, the, world]"
572,i,supposed,"[to, give, you, my, one, -, sentence, wish]"
573,i,know,"[what, to, say]"
574,anderson,invited,[me]
575,i,get,[chance]
576,i,played,[that]
577,i,have,[piece]
578,i,like,"[that, to, play, for, you]"
579,it,called,"[robert, schumann]"
580,he,wrote,[that]
581,laughter,supposed,"[to, be, five, variations, on, this, abegg, theme]"
582,you,like,[it]
583,i,hate,[that]
584,anderson,told,[me]
585,i,know,[what]
586,i,know,"[where, to, start]"
587,yamaha,does,[job]
588,i,make,[lot]
589,i,choose,[one]
590,you,heard,[that]
591,i,choose,[theme]
592,i,have,"[to, decide, :, out, of, all, the, styles, in, music, ,]"
593,i,want,[kind]
594,i,composed,[style]
595,i,make,[structure]
596,me,plan,[piece]
597,part,filling,[it]
598,you,have,"[to, think]"
599,you,supposed,"[to, actually, polish, the, piece]"
600,you,polish,[details]
601,you,polish,[performance]
602,i,doing,[that]
603,i,like,"[anime, art]"
604,i,realized,[it]
605,you,want,"[to, decide, who, you, want, to, draw]"
606,you,want,"[who, to, draw]"
607,you,want,"[to, draw, an, original, character]"
608,you,want,"[to, decide]"
609,you,going,"[to, draw, the, character]"
610,i,going,"[to, use, one, page]"
611,i,going,"[to, draw, it, on, the, computer]"
612,i,going,"[to, use, a, two, -, page, spread, like, a, comic, book]"
613,you,have,"[to, do, the, initial, sketch, of, the, character, ,, which, is, like, your, structure, of, a, piece]"
614,you,add,"[pen, pencil]"
615,that,polishing,"[details, drawing]"
616,you,need,[that]
617,both,have,[that]
618,i,trying,"[to, do, homework]"
619,i,feel,"[to, do, homework]"
620,i,try,"[to, draw, waste, my, time]"
621,you,supposed,"[what, to, do]"
