,subject,verb,object
872,I,going,"[to, go, around, and, find, bull, riders, and, pig, farmers, and, people, like, that]"
873,I,sidetracked,[year]
874,I,find,"[bull, rider]"
875,I,say,[anything]
876,I,lose,[kidney]
877,I,lost,[kidney]
878,I,kept,[kidney]
879,I,think,[kidney]
880,I,told,[wife]
881,I,think,[Confidence]
882,I,have,"[ranch, everything]"
883,I,want,"[to, think, the, day, that, comes]"
884,I,had,"[to, go, and, ride, in, the, rodeo, that, night]"
885,I,want,"[to, go, and, ride, in, the, rodeo, that, night]"
886,I,have,[tolerance]
887,I,broke,[nose]
888,We,read,"[Huck, Finn]"
889,We,told,"[security, guard]"
890,We,get,[any]
891,we,have,[technology]
892,we,had,[robots]
893,we,have,[humans]
894,we,got,[voice]
895,we,honor,"[Mark, Twain]"
896,we,read,[him]
897,we,read,"[Huck, Finn]"
898,we,had,[things]
899,we,got,[eyes]
900,we,busted,"[lips, bruises]"
901,we,went,"[police, her]"
902,we,told,[police]
903,we,had,[that]
904,we,lost,[her]
905,we,told,"[security, guard]"
906,we,put,[what]
907,we,went,"[security, guard, her]"
908,we,dressed,[her]
909,we,told,"[that, security, guard]"
910,we,put,[that]
911,we,got,"[baby, child]"
912,we,drove,"[baby, child]"
913,we,have,"[to, be, left, out]"
914,we,have,"[car, house]"
915,we,suffer,[more]
916,She,had,[eye]
917,She,going,"[to, do, that]"
918,She,said,"[Look, who, she, is]"
919,she,speaking,[Spanish]
920,she,know,[that]
921,she,wants,"[to, know]"
922,she,died,[that]
923,she,hit,[head]
924,she,asks,[question]
925,she,questioning,[what]
926,she,taking,[chance]
927,she,went,[you]
928,she,looked,[you]
929,He,had,[belt]
930,He,told,[her]
931,he,had,[schooling]
932,he,going,"[to, steal]"
933,he,going,"[to, steal]"
934,he,going,"[to, do, a, terrible, thing]"
935,he,beat,[me]
936,he,grew,"[beating, her, her]"
937,he,grew,"[beating, her, her]"
938,he,got,"[beating, her, her]"
939,he,started,"[beating, her]"
940,he,put,[her]
941,he,use,[belt]
942,he,had,[thing]
943,he,put,[her]
944,he,leave,[mine]
945,he,had,[her]
946,he,hit,[her]
947,he,put,[her]
948,he,told,[her]
949,he,laid,"[her, right]"
950,he,has,[luck]
951,I,heard,[that]
952,I,call,[it]
953,I,propose,[voice]
954,I,want,"[to, give, you, a, greeting, ,, as, from, a, chimpanzee, in, the, forests, of, Tanzania, —]"
955,I,studying,[chimpanzees]
956,I,got,[time]
957,I,remember,[shape]
958,I,saw,[shape]
959,I,peered,[shape]
960,I,named,[whom]
961,I,name,[chimps]
962,I,have,[time]
963,I,love,[Africa]
964,I,going,"[to, feed, my, family, today]"
965,I,get,[dollars]
966,I,had,"[to, leave, the, forest]"
967,I,love,"[to, be]"
968,I,had,"[to, leave, these, fascinating, chimpanzees, for, my, students, and, field, staff, to, continue, studying]"
969,I,had,"[to, leave, the, forest, to, do, what, I, could, to, raise, awareness, around, the, world]"
970,I,realized,[fact]
