,term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
178,1992,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0
179,1993,1,0,0,0,0,3,1,1,0,1,2,2,3,1,0,0
180,1994,0,2,2,0,0,3,3,3,2,0,0,1,2,1,0,0
181,1995,1,2,1,1,0,2,2,1,1,2,0,4,4,0,1,0
182,1996,1,1,0,0,2,2,2,3,0,0,2,2,2,0,1,2
183,1997,0,0,3,1,2,2,1,3,0,0,1,1,3,0,1,1
184,1999,1,3,1,0,2,2,1,3,0,1,0,1,2,2,1,1
185,19th,0,3,4,3,1,1,1,2,3,7,1,6,4,0,3,2
186,2000s,0,0,0,1,0,1,0,0,0,0,0,1,2,3,1,3
187,2001,1,2,3,3,5,11,2,2,0,2,1,0,2,7,2,1
188,2002,1,1,1,3,2,1,1,2,1,0,1,4,1,1,1,3
189,2003,1,2,0,0,7,6,4,3,1,1,2,2,1,5,0,1
190,2004,2,0,1,3,5,6,3,3,2,5,3,4,2,4,1,1
191,2005,0,0,1,2,5,6,4,5,3,2,3,2,2,2,0,1
192,2006,0,0,1,0,1,7,3,6,2,2,0,1,3,1,1,0
193,2007,0,0,0,0,1,4,2,7,7,4,1,3,5,4,4,5
194,2008,0,0,2,1,1,0,3,6,5,2,2,5,7,5,2,3
195,2009,0,0,0,0,0,0,1,8,4,5,3,1,3,5,8,1
196,2010,0,0,0,3,4,1,0,4,3,4,5,4,3,5,10,2
197,2011,1,0,0,1,0,0,0,5,0,3,4,4,4,8,7,2
198,2012,0,0,0,3,0,0,0,0,1,1,6,4,5,5,11,3
199,2013,0,0,0,0,0,0,0,1,0,0,2,0,2,6,6,7
200,2014,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,8
201,2015,1,0,0,0,1,0,1,5,0,0,0,0,0,1,8,6
202,2016,0,0,0,0,0,1,0,1,0,0,0,0,3,3,6,6
203,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
204,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
205,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
206,2020,1,0,1,1,5,1,0,8,4,0,2,0,0,2,2,3
207,2020s,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
208,2025,2,0,0,3,0,0,1,0,0,0,0,0,1,2,1,0
209,2030,0,0,0,1,0,0,0,2,0,0,0,6,1,0,2,6
210,2040,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0
211,205,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
212,2050,0,2,0,0,0,1,3,6,1,0,2,0,1,3,0,4
213,20s,0,0,1,0,1,2,2,1,0,3,1,17,0,3,1,3
214,20th,0,9,4,2,2,2,7,9,6,10,4,13,11,3,3,4
215,21,0,2,2,2,5,8,11,0,10,2,2,5,2,6,8,5
