,subject,verb,object,TalkID
363,i,force,[everybody],55
364,you,force,[people],55
365,i,support,[that],55
366,we,force,[people],55
367,i,like,"[to, talk, about, another, way, to, travel, that, does, n't, require, a, ship, or, an, airplane, ,, and, just, requires, a, movie, camera, ,, a, projector, and, a, screen]",55
368,that,require,"[ship, airplane]",55
369,that,require,"[movie, camera]",55
370,i,go,"[what, to, talk, to, you, about, today]",55
371,i,speak,[bit],55
372,you,manage,"[how, to, get, out, of, that, one]",55
373,me,start,"[to, take, pictures]",55
374,i,realize,[power],55
375,mother,take,[me],55
376,i,need,"[that, to, do]",55
377,i,meet,[women],55
378,they,teach,[people],55
379,they,get,[vaccinations],55
380,i,begin,"[teaching, there]",55
381,i,teach,[english],55
382,i,meet,[women],55
383,i,meet,[people],55
384,that,live,[people],55
385,i,draw,"[to, take, pictures, there]",55
386,i,begin,"[to, take, pictures, there]",55
387,i,take,[pictures],55
388,they,want,"[that, memories]",55
389,i,start,"[taking, these, pictures]",55
390,conference,ask,[me],55
391,i,show,[sides],55
392,i,cut,[donkey],55
393,i,put,[photographs],55
394,they,be,"[photographs, to, be, taken, down]",55
395,they,have,"[to, be, taken, down]",55
396,i,saw,[power],55
397,i,think,[reaction],55
398,i,think,"[people, cross, borders]",55
399,i,want,"[to, use, photography, and, film, to, somehow, bridge, gaps, ,, to, bridge, cultures]",55
400,i,bring,"[people, cross, borders]",55
401,what,start,[me],55
402,i,do,[stint],55
403,i,make,[film],55
404,i,do,[couple],55
405,i,watch,[television],55
406,i,seem,"[to, be, just, one, point, of, view, that, was, coming, across]",55
407,coverage,go,"[television, to, be, just, one, point, of, view, that, was, coming, across]",55
408,iraqis,greet,[americans],55
409,iraqis,throw,[flowers],55
410,that,take,[place],55
411,people,suppose,"[to, communicate, with, each, other, when, they, 're, getting, completely, different, messages]",55
412,they,get,[messages],55
413,other,tell,[what],55
414,people,suppose,"[to, have, any, kind, of, common, understanding, or, know, how, to, move, together, into, the, future]",55
415,i,have,"[to, go, there]",55
416,i,want,"[to, be, in, the, center]",55
417,i,have,[plan],55
418,i,have,[funding],55
419,i,have,[camera],55
420,somebody,bring,[it],55
421,i,want,"[to, get, access, to, al, jazeera, ,, george, bush, 's, favorite, channel, ,, and, a, place, which, i, was, very, curious, about, because, it, 's, disliked, by, many, governments, across, the, arab, world, ,]",55
422,it,dislike,[governments],55
423,i,call,[mouthpiece],55
424,i,think,"[to, be, doing, something, right]",55
425,station,have,"[to, be, doing, something, right]",55
426,that,hat,[people],55
427,i,get,"[to, go, see, what, this, is, all, about]",55
428,i,want,"[to, go, see, central, command, ,, which, was, 10, minutes, away]",55
429,i,get,[access],55
430,i,go,[people],55
431,i,sit,[people],55
432,i,meet,[people],55
433,i,meet,[people],55
434,i,like,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody]",55
435,you,film,[them],55
436,you,listen,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody, them]",55
437,you,allow,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody, them]",55
438,i,offer,[job],55
439,i,take,[it],55
440,i,have,[dream],55
441,i,have,[plans],55
442,they,finish,[school],55
443,i,send,[them],55
444,they,show,"[pows, soldiers]",55
445,jazeera,show,[them],55
446,america,show,[kinds],55
447,most,show,"[gory, images]",55
448,this,show,[soldiers],55
449,what,hit,[me],55
450,jazeera,show,[images],55
451,i,remember,"[having, seen, it, in, the, al, jazeera, office]",55
452,it,affect,[me],55
453,i,saw,[people],55
454,people,felt,[way],55
455,it,upset,[me],55
456,me,hate,[war],55
457,we,have,[funding],55
458,we,show,[film],55
459,we,have,[reactions],55
460,people,move,[film],55
461,i,show,[film],55
462,people,want,"[to, meet, josh]",55
463,he,redefine,[us],55
464,people,start,"[to, ask, me, ,, "", where, is, this, guy, now]",55
465,jazeera,offer,[job],55
466,it,bring,[complexities],55
467,world,have,[that],55
468,i,blow,[motivations],55
469,they,see,[film],55
470,we,feel,[power],55
471,we,need,[to],55
472,we,have,"[to, get, the, power, to, change, things]",55
473,i,saw,[this],55
474,i,saw,[anger],55
475,you,understand,[anger],55
476,you,see,"[people, victims]",55
477,we,get,[anger],55
478,person,think,[what],55
479,film,change,[world],55
480,i,know,[power],55
481,it,start,[people],55
482,film,speak,[you],55
483,film,take,[you],55
484,film,have,[ability],55
485,clips,take,[you],55
486,someone,make,[sacrifice],55
487,we,have,[airplanes],55
488,we,need,[martyrs],55
489,we,have,[paradise],55
490,god,forgive,[you],55
491,i,have,[paradise],55
492,one,choose,[bitterness],55
493,we,win,[way],55
494,you,do,[what],55
495,you,give,[alibi],55
496,we,have,"[to, turn, it, into, a, moral, war]",55
497,israel,have,[morals],55
498,ayelet,call,[me],55
499,you,know,[what],55
500,we,have,[information],55
501,bethlehem,occupy,[territories],55
502,they,open,[fire],55
503,i,have,[assistants],55
504,george,join,[forum],55
505,i,find,[reason],55
506,that,touch,[me],55
507,who,suffer,[lot],55
508,who,lose,[children],55
509,we,communicate,[that],55
510,you,give,[speech],55
511,i,tell,[you],55
512,you,finish,[song],55
513,who,put,[tools],55
514,who,demand,[freedom],55
515,i,think,[feeling],55
516,everybody,have,[feeling],55
517,they,felt,[feeling],55
518,i,like,[what],55
519,we,use,[feeling],55
520,we,have,[appreciation],55
521,they,have,[appreciation],55
522,rushing,end,"[leaving, the, military, and, taking, a, job, with, al, jazeera]",55
523,he,use,[media],55
524,i,try,"[to, think, about, ways, to, give, power, to, these, independent, voices, ,, to, give, power, to, the, filmmakers, ,, to, give, power, to, people, who, are, trying, to, use, film, for, change]",55
525,who,try,"[to, use, film, for, change]",55
526,you,hear,[that],55
527,who,work,"[process, interviews, film]",55
528,who,document,[process],55
529,who,get,[interviews],55
530,who,use,[film],55
531,i,watch,[it],55
532,i,blow,"[it, potential, to, bring, voices, from, around, the, world]",55
533,i,create,[television],55
534,we,do,[what],55
535,you,have,"[towns, villages, theaters]",55
536,",",make,[joke],55
537,which,highlight,[character],55
538,that,fight,"[to, live]",55
539,that,defy,[stereotypes],55
540,",",sing,[song],55
541,power,use,"[to, change, people, and, to, bond, people, together, to, cross, borders, ,, and, have, people, feel, like, they, 're, having, a, communal, experience]",55
542,they,have,[experience],55
543,you,have,"[theaters, places]",55
544,we,project,[films],55
545,you,imagine,"[projecting, from, times, square, to, tahrir, square, in, cairo]",55
546,you,imagine,[what],55
547,you,project,[films],55
548,you,have,[experience],55
549,we,create,[it],55
550,day,create,[momentum],55
551,which,connect,[voices],55
552,challenge,understand,[other],55
553,challenge,have,[respect],55
554,film,do,[that],55
555,we,get,[all],55
556,we,make,[partnership],55
557,who,introduce,[me],55
558,we,start,"[calling, up, everybody]",55
559,that,want,"[to, be, a, part, of, this, global, day, of, film]",55
560,we,think,"[to, share, this, with, you]",55
561,i,like,"[to, share, this, with, you]",55
562,part,share,"[ideas, wishes]",55
563,i,invite,[you],55
564,we,use,[technology],55
565,we,build,[community],55
566,we,call,"[landmass, pangea]",55
567,we,like,[what],55
568,we,make,[movement],55
569,i,know,"[how, to, do, it]",55
570,i,know,[that],55
571,i,suppose,"[to, give, you, my, one, -, sentence, wish]",55
572,applause,thank,[you],46
573,i,know,"[what, to, say]",46
574,anderson,invite,[me],46
575,i,get,[chance],46
576,i,play,[that],46
577,i,have,[piece],46
578,i,like,"[that, to, play, for, you]",46
579,it,call,"[robert, schumann]",46
580,he,write,[that],46
581,laughter,suppose,"[to, be, five, variations, on, this, abegg, theme]",46
582,you,like,[it],46
583,applause,come,[part],46
584,i,hate,[that],46
585,anderson,tell,"[me, laughter]",46
586,i,know,[what],46
587,i,know,"[where, to, start]",46
588,yamaha,do,[job],46
589,i,make,[lot],46
590,i,choose,[one],46
591,you,hear,[that],46
592,i,choose,[theme],46
593,i,have,"[to, decide, :]",46
594,i,want,[kind],46
595,i,compose,[style],46
596,i,make,[structure],46
597,me,plan,[piece],46
598,part,fill,[it],46
599,you,have,"[to, think]",46
600,laughter,excuse,"[me, form]",46
601,you,suppose,"[to, actually, polish, the, piece]",46
602,you,polish,[details],46
603,you,polish,[performance],46
604,i,do,[that],46
605,i,like,"[to, draw]",46
606,i,realize,[it],46
607,you,want,"[to, decide, who, you, want, to, draw]",46
608,you,want,"[who, to, draw]",46
609,you,want,"[to, draw, an, original, character]",46
610,you,want,"[to, decide, :, how, are, you, going, to, draw, the, character]",46
611,you,go,"[to, draw, the, character]",46
612,i,go,"[to, use, one, page]",46
613,i,go,"[to, draw, it, on, the, computer]",46
614,i,go,"[to, use, a, two, -, page, spread, like, a, comic, book]",46
615,you,have,"[to, do, the, initial, sketch, of, the, character, ,, which, is, like, your, structure, of, a, piece]",46
616,you,add,"[pen, pencil]",46
617,that,polish,[drawing],46
618,both,have,[that],46
619,i,try,"[to, do, homework]",46
620,i,try,"[to, draw]",46
621,i,waste,[time],46
622,you,suppose,"[what, to, do]",46
623,you,manage,"[to, use, your, time, wisely, and, work, on, it]",46
624,you,get,[something],46
625,it,come,[something],46
626,i,consider,[what],46
627,you,feel,[anything],46
628,you,do,[anything],46
629,i,go,"[to, play, my, own, composition, today]",46
630,i,finish,[it],46
631,i,like,"[to, try, something, called, "", improvisation]",46
632,i,have,"[note, cards]",46
633,i,like,[someone],46
634,anyone,come,"[five, it, it]",46
635,anyone,choose,[five],46
636,i,make,[it],46
637,i,improvise,[it],46
638,you,mind,"[reading, them, out, in, the, order, that, you, chose, them]",46
639,you,choose,[them],46
640,i,use,[them],46
641,she,choose,"[c, g, b, a]",46
642,i,go,"[to, try, to, put, that, in, some, sort, of, order]",46
643,i,go,"[to, have, a, moment, to, think]",46
