,subject,verb,object,TalkID
482,i,use,"[to, be, on, the, board, of, the, royal, ballet, ,]",66
483,i,have,[lunch],66
484,i,say,[lunch],66
485,you,get,"[to, be, a, dancer]",66
486,gillian,have,"[learning, disorder]",66
487,she,have,[adhd],66
488,they,have,[that],66
489,she,disturb,[people],66
490,mother,tell,[me],66
491,i,need,"[to, speak, to, her, privately]",66
492,they,go,[her],66
493,they,leave,[her],66
494,he,turn,[radio],66
495,he,say,"[just, stand, and, watch, her]",66
496,they,leave,[room],66
497,i,tell,[you],66
498,who,have,"[to, move, to, think]",66
499,who,have,"[to, move, to, think]",66
500,they,ballet,[contemporary],66
501,they,do,[tap],66
502,they,do,[contemporary],66
503,she,have,[career],66
504,she,graduate,"[gillian, dance, company, andrew, lloyd, webber]",66
505,she,found,"[gillian, dance, company]",66
506,she,meet,"[andrew, lloyd, webber]",66
507,she,give,[pleasure],66
508,somebody,put,[her],66
509,somebody,tell,[her],66
510,it,come,[what],66
511,gore,speak,[night],66
512,that,trigger,"[rachel, carson]",66
513,we,start,"[to, reconstitute, our, conception, of, the, richness, of, human, capacity]",66
514,system,mine,[minds],66
515,strip,mine,[earth],66
516,it,serve,[us],66
517,we,have,"[to, rethink, the, fundamental, principles, on, which, we, 're, educating, our, children]",66
518,we,educate,[children],66
519,we,have,"[to, be, careful, now, that, we, use, this, gift, wisely, and, that, we, avert, some, of, the, scenarios, that, we, 've, talked, about]",66
520,we,use,[gift],66
521,we,avert,[some],66
522,we,do,[it],66
523,they,face,[future],66
524,we,see,[future],66
525,them,make,[something],66
526,i,take,[task],92
527,you,get,[opportunity],92
528,students,have,[grade],92
529,they,know,[everything],92
530,i,go,"[to, teach, them, about]",92
531,i,do,"[pre, -, test]",92
532,i,learn,[lot],92
533,country,have,"[child, mortality]",92
534,i,put,[them],92
535,one,have,"[child, mortality]",92
536,i,put,[you],92
537,i,do,[it],92
538,i,get,"[confidence, interval]",92
539,i,get,"[right, answer]",92
540,i,realize,[discovery],92
541,i,compile,[report],92
542,i,give,[bananas],92
543,i,do,[study],92
544,that,hand,"[nobel, prize]",92
545,we,do,[software],92
546,which,display,[it],92
547,i,put,"[fertility, rate]",92
548,they,say,[what],92
549,i,ask,[them],92
550,you,think,[what],92
551,you,mean,[what],92
552,i,display,[what],92
553,i,put,"[fertility, rate, number]",92
554,we,have,[data],92
555,i,put,"[life, expectancy]",92
556,they,be,"[families, lives]",92
557,they,have,"[families, lives]",92
558,they,have,[families],92
559,they,have,[lives],92
560,we,want,"[to, see, the, change]",92
561,countries,get,[families],92
562,they,live,[families],92
563,they,get,[lives],92
564,we,stop,[world],92
565,they,get,"[life, families]",92
566,you,have,[bangladesh],92
567,imams,start,"[to, promote, family, planning]",92
568,epidemic,move,[world],92
569,that,take,"[life, expectancy, rest]",92
570,we,have,"[lives, family]",92
571,we,have,[world],92
572,me,make,[comparison],92
573,america,have,"[families, life]",92
574,vietnam,have,"[families, lives]",92
575,they,give,[planning],92
576,they,go,[planning],92
577,it,move,[planning],92
578,we,have,"[life, expectancy, family, size]",92
579,we,underestimate,[change],92
580,we,saw,[change],92
581,we,display,[distribution],92
582,they,take,[percent],92
583,people,give,[aid],92
584,we,have,[most],92
585,they,have,[percent],92
586,we,hear,[it],92
587,i,show,"[you, africa]",92
588,it,have,[everything],92
589,we,put,"[east, europe]",92
590,we,put,"[east, asia]",92
591,we,put,"[south, asia]",92
592,we,have,[most],92
593,we,have,[world],92
594,we,have,[people],92
595,i,change,[this],92
596,i,take,[gdp],92
597,i,turn,[data],92
598,i,take,[regions],92
599,you,have,[oecd],92
600,you,have,[africa],92
601,we,take,[states],92
602,we,put,[them],92
603,we,expand,[axis],92
604,i,give,[dimension],92
605,i,have,[money],92
606,i,have,[possibility],92
607,me,split,[africa],92
608,i,go,[africa],92
609,i,split,[africa],92
610,they,sell,[sugar],92
611,they,sell,[textiles],92
612,we,make,[which],92
613,i,split,"[south, asia]",92
614,i,split,[states],92
615,that,include,[children],92
616,we,be,[difference],92
617,we,see,[difference],92
618,we,have,"[to, go, to, cuba, to, find, a, healthy, country, in, latin, america]",92
619,chile,have,"[child, mortality]",92
620,we,have,"[income, countries]",92
621,we,get,[pattern],92
622,it,start,"[to, move]",92
623,he,bring,[health],92
624,xiaoping,come,"[money, them]",92
625,xiaoping,bring,[money],92
626,xiaoping,bring,[them],92
627,which,show,[pattern],92
628,i,like,"[to, bring, you, back, to, about, here, ,, at, 1960]",92
629,i,like,"[to, compare, south, korea, ,, which, is, this, one, ,, with, brazil, ,, which, is, this, one]",92
630,i,like,"[to, compare, uganda, ,, which, is, there]",92
631,i,run,[it],92
632,korea,make,[advancement],92
633,they,cache,[oil],92
634,they,get,[money],92
635,health,buy,[money],92
636,you,have,"[to, invest, in, health]",92
637,you,have,"[to, get, kids, into, schooling]",92
638,you,have,"[to, train, health, staff]",92
639,you,have,"[to, educate, the, population]",92
640,zayed,do,[that],92
641,he,bring,[country],92
642,we,get,[appearance],92
643,countries,tend,"[to, use, their, money, better, than, they, used, in, the, past]",92
644,we,see,[uganda],92
645,i,split,[uganda],92
646,i,split,"[south, africa]",92
647,we,tend,"[to, discuss, on, what, solutions, there, should, be, in, africa]",92
648,you,discuss,[access],92
649,they,use,[this],92
650,sectors,like,"[to, see, how, the, world, is, changing]",92
651,this,take,[place],92
652,we,use,[data],92
653,we,have,[data],92
654,we,use,[it],92
655,information,include,[statistics],92
656,we,saw,"[changing, in, the, world]",92
657,they,be,"[nourishment, prices]",92
658,they,take,[nourishment],92
659,people,put,[prices],92
660,we,have,[databases],92
661,we,have,"[design, tools]",92
662,more,add,"[design, tools]",92
663,we,start,[venture],92
664,they,warn,[you],92
665,we,start,"[to, write, software, which, could, link, the, data, like, this]",92
666,which,link,[data],92
667,it,take,"[person, years]",92
668,we,produce,[animations],92
669,you,take,[data],92
670,you,put,[it],92
671,we,liberate,"[u.n, ., data]",92
672,we,need,[what],92
673,we,copy,[data],92
674,we,get,[it],92
675,we,hear,[what],92
676,i,do,[anthropology],92
677,we,give,[data],92
678,we,like,"[what, to, see]",92
679,people,use,"[design, tool]",92
680,i,have,[news],92
681,i,have,[news],92
682,we,do,[it],92
683,we,need,"[to, see, it]",92
684,i,like,"[to, end, up, by, showing, the, internet, users, per, 1,000]",92
685,we,access,[variables],92
686,it,take,[time],92
687,you,get,[variable],92
688,you,like,"[to, have]",92
689,you,understand,[them],92
690,statisticians,like,[it],92
691,this,show,[reality],92
692,we,have,"[to, have, statistical, ,, analytical, methods]",92
693,countries,lift,[more],92
694,i,have,"[to, tell, you, i, 'm, both, challenged, and, excited]",96
695,i,get,[chance],96
696,i,do,[weekends],96
697,i,do,[more],96
698,i,coach,[people],96
699,you,learn,[language],96
700,you,get,[it],96
701,you,do,[it],96
702,you,need,[that],96
703,i,do,[what],96
704,i,need,[motivation],96
705,i,do,[what],96
706,i,want,"[to, know, why, you, do, what, you, do]",96
707,you,do,[what],96
708,that,drive,[you],96
709,you,run,[pattern],96
710,all,have,[minds],96
711,most,have,[minds],96
712,we,know,"[how, to, think]",96
713,we,rationalize,[anything],96
714,those,play,[game],96
715,i,want,"[to, know, what, 's, driving, you]",96
716,what,drive,[you],96
717,i,like,"[what, to, invite, you, to, do, by, the, end, of, this, talk]",96
718,you,contribute,[more],96
719,we,understand,[people],96
720,we,appreciate,[them],96
721,we,create,[kinds],96
722,that,stop,[some],96
723,we,face,[that],96
724,they,go,"[to, get, magnified, by, the, very, technology, that, connects, us]",96
725,that,connect,[us],96
726,intersection,create,[view],96
727,everybody,understand,[everybody],96
728,everybody,appreciate,[everybody],96
729,i,have,[obsession],96
730,what,make,[difference],96
731,i,hire,"[to, produce, the, result, now]",96
732,i,do,[it],96
733,i,get,"[phone, call]",96
734,they,get,"[phone, call]",96
735,i,get,"[to, do, something, right, now]",96
736,nothing,matter,"[to, do, something, right, now]",96
737,i,get,"[phone, call]",96
738,child,go,"[to, commit, suicide]",96
739,i,get,"[to, do, something]",96
740,i,lose,[one],96
741,i,get,[calls],96
742,you,make,[change],96
743,i,look,"[to, see, what, is, shaping, the, person, 's, ability, to, contribute, ,, to, do, something, beyond, themselves]",96
744,what,shape,[ability],96
745,everyone,master,[which],96
746,you,take,[invisible],96
747,we,know,[rules],96
748,you,write,[code],96
749,you,get,[results],96
750,you,know,[game],96
751,i,have,[laboratory],96
752,you,give,[everything],96
753,you,not,"[dollar, computer]",96
754,you,give,[love],96
755,you,know,[some],96
756,that,contribute,[most],96
757,we,get,"[to, ask, ourselves]",96
758,that,shape,[us],96
759,most,do,[that],96
760,you,buy,[that],96
761,past,equal,[future],96
762,we,know,[what],96
763,we,have,[what],96
764,you,know,[something],96
765,you,use,[it],96
766,we,get,"[to, remind, ourselves]",96
767,you,ask,[people],96
768,you,fail,"[to, achieve, something, significant, in, your, life]",96
769,you,ask,[people],96
770,you,achieve,[something],96
771,you,fail,"[to, achieve]",96
772,they,tell,[you],96
773,i,have,[manager],96
774,you,have,[money],96
775,you,correct,[me],96
776,i,mean,[what],96
777,you,have,[emotion],96
778,i,experience,[that],96
779,you,beat,[ass],96
780,me,tell,[him],96
781,he,do,[what],96
782,we,watch,[debate],96
783,that,block,[ability],96
784,i,know,[people],96
785,that,want,"[to, vote, in, your, direction]",96
786,you,know,[aye],96
787,we,get,[emotion],96
788,ourselves,do,[anything],96
