,verb,term_freq,doc_freq,tfidf
60,choose,57,46,18.7798872332278
61,change,54,46,17.791472115689494
62,pull,52,45,17.00935667419826
63,sit,50,45,16.355150648267557
64,send,56,44,18.18409852956021
65,hope,50,44,16.2358022585359
66,end,45,42,14.394777468007875
67,live,46,41,14.602102276940025
68,move,49,40,15.433440601121331
69,talk,42,39,13.124008541347523
70,invite,44,38,13.638263278524677
71,help,40,37,12.29677474371117
72,open,46,37,14.141290955267845
73,wear,47,36,14.328025716507952
74,hold,45,36,13.71832249452889
75,forget,41,35,12.392490123314381
76,design,46,35,13.903769406645404
77,be,37,34,11.086332104036396
78,throw,39,34,11.685593298849174
79,develop,43,33,12.769890788054914
80,pay,39,33,11.581993970561433
81,thank,56,33,16.630555444908726
82,imagine,41,33,12.175942379308173
83,speak,38,33,11.285019766188062
84,expect,39,32,11.477111661327555
85,add,40,32,11.77139657572057
86,describe,43,32,12.654251318899611
87,explain,36,32,10.594256918148512
88,share,44,32,12.948536233292627
89,join,35,32,10.299972003755498
90,suppose,35,31,10.204628496707397
91,draw,37,31,10.787750125090676
92,discover,39,31,11.370871753473956
93,mention,38,31,11.079310939282317
94,hate,33,30,9.530394132826498
95,drive,33,29,9.437989027588253
96,become,34,29,9.723988695090927
97,let,29,28,8.21157809108481
98,stand,30,28,8.494735956294631
99,figure,30,28,8.494735956294631
100,follow,32,28,9.061051686714272
101,miss,35,27,9.809509072005435
102,raise,29,27,8.127878945375931
103,offer,30,26,8.320143932790781
104,'s,27,25,7.407554610282318
105,receive,30,25,8.23061623364702
106,grow,27,25,7.407554610282318
107,enjoy,25,25,6.858846861372516
108,win,39,25,10.699801103741127
109,sell,32,25,8.779323982556821
110,experience,29,24,7.868141749518553
111,eat,28,24,7.596826516776534
112,save,30,24,8.139456982260572
113,notice,27,24,7.325511284034515
114,finish,23,23,6.169016279817685
115,carry,26,22,6.891504769748494
116,cut,26,22,6.891504769748494
117,promise,24,22,6.361389018229379
118,visit,26,22,6.891504769748494
119,hit,26,22,6.891504769748494
120,grab,24,21,6.283905345210066
121,manage,24,21,6.283905345210066
122,happen,24,21,6.283905345210066
123,wait,23,21,6.022075955826313
124,wish,31,21,8.116711070896335
125,invent,24,20,6.204642900422209
126,blow,24,20,6.204642900422209
127,consider,21,20,5.429062537869433
128,touch,25,19,6.37858524245141
129,catch,23,19,5.868298423055297
130,encourage,25,19,6.37858524245141
131,appreciate,21,19,5.358011603659184
132,answer,21,19,5.358011603659184
133,push,19,18,4.781760893918359
134,break,18,18,4.530089267922656
135,reach,19,18,4.781760893918359
136,lead,23,18,5.788447397901172
137,accept,17,17,4.217744747069947
138,place,19,17,4.713950011431117
139,found,18,17,4.4658473792505315
140,present,17,17,4.217744747069947
141,shoot,20,17,4.962052643611702
142,gon,34,17,8.435489494139894
143,close,19,17,4.713950011431117
144,kill,21,16,5.132949917790245
145,plan,18,16,4.399671358105924
146,introduce,16,16,3.910818984983044
147,propose,20,16,4.888523731228805
148,hat,23,16,5.621802290913125
149,approach,17,16,4.155245171544484
150,convince,15,15,3.6094540057933533
151,name,17,15,4.090714539899134
152,remind,16,15,3.8500842728462437
153,allow,17,15,4.090714539899134
154,pass,17,15,4.090714539899134
155,force,14,14,3.313808639639332
156,cover,24,14,5.680814810810284
157,continue,14,14,3.313808639639332
158,apply,14,14,3.313808639639332
159,enter,15,14,3.5505092567564276
160,hop,17,14,4.023910490990618
161,stick,17,14,4.023910490990618
162,paint,16,14,3.7872098738735227
163,record,16,14,3.7872098738735227
164,train,14,13,3.2566818713314682
165,assure,13,13,3.024061737664935
166,recommend,13,13,3.024061737664935
167,treat,14,13,3.2566818713314682
168,suggest,13,13,3.024061737664935
169,marry,15,13,3.489302004998002
170,prefer,13,13,3.024061737664935
171,solve,16,13,3.721922138664535
172,drop,17,13,3.954542272331069
173,explore,14,13,3.2566818713314682
174,inspire,13,13,3.024061737664935
175,fly,13,13,3.024061737664935
176,photograph,16,13,3.721922138664535
177,die,13,12,2.9687843232990034
178,lay,13,12,2.9687843232990034
179,publish,12,12,2.7404162984298495
180,seem,12,12,2.7404162984298495
181,recognize,13,12,2.9687843232990034
182,check,13,12,2.9687843232990034
183,witness,17,12,3.8822564227756198
184,guess,12,12,2.7404162984298495
185,interview,16,12,3.653888397906466
186,collect,14,12,3.1971523481681574
187,challenge,12,12,2.7404162984298495
188,travel,12,12,2.7404162984298495
189,fell,11,11,2.463104861932068
190,fill,12,11,2.6870234857440742
191,point,11,11,2.463104861932068
192,fascinate,11,11,2.463104861932068
193,hire,17,11,3.806616604804105
194,intend,13,11,2.9109421095560806
195,tend,11,11,2.463104861932068
196,wake,14,11,3.1348607333680865
