subject,verb,object
God,impregnated,[girl]
she,had,[baby]
they,asked,[me]
God,loved,[me]
they,asked,[me]
God,loves,[you]
I,feel,[it]
I,feel,[love]
I,feel,"[consoled, and, cared, for]"
I,take,[shelter]
I,feel,[shelter]
they,asked,"[me, question]"
I,felt,[what]
I,help,"[to, think, about, when, you, 're, a, little, kid, you]"
I,wish,"[to, think, about, when, you, 're, a, little, kid]"
friends,ask,[you]
genie,give,[wish]
I,want,[wish]
you,screwed,[wish]
you,know,"[what, to, wish, for]"
you,use,[wish]
we,have,[wish]
they,had,[wishes]
I,going,"[to, wish, for, that]"
I,like,[what]
you,thinking,[what]
You,thinking,[girl]
it,makes,[sense]
people,meet,[other]
I,met,[lot]
I,filmed,[some]
who,wanted,"[to, take, over, the, world]"
who,take,[world]
you,seen,[film]
Some,watched,[it]
I,like,"[what, to, talk, about, today]"
mom,had,"[exchange, student]"
I,going,"[to, show, you, slides, of, the, exchange, student]"
Donna,eating,"[ice, cream]"
Donna,teaching,[aunt]
we,learn,"[dance, moves]"
we,meet,[other]
we,get,"[to, know, each, other]"
I,know,[everybody]
we,do,"[exchange, programs]"
I,force,[everybody]
You,force,[people]
I,support,[that]
we,forcing,[people]
I,like,"[to, talk, about, another, way, to, travel]"
that,require,"[ship, airplane]"
I,requires,"[movie, camera, projector, screen]"
I,going,"[what, to, talk, to, you, about, today]"
I,speak,[bit]
you,managed,"[to, get, out, of, that, one]"
me,starting,"[to, take, pictures]"
I,realized,[power]
mother,took,[me]
I,needed,"[that, to, do]"
I,met,[women]
they,teaching,[people]
they,get,[vaccinations]
I,began,"[teaching, there]"
I,taught,[English]
I,met,[women]
I,met,[people]
that,live,[people]
I,began,"[to, take, pictures, there]"
I,took,[pictures]
they,wanted,"[that, memories]"
I,started,"[taking, these, pictures]"
Conference,asked,[me]
I,showing,[sides]
I,cut,[donkey]
I,put,[photographs]
they,were,"[photographs, to, be, taken, down]"
they,had,"[to, be, taken, down]"
I,saw,[power]
I,think,[reaction]
I,saw,[that]
I,wanted,"[to, use, photography, and, film]"
what,started,[me]
I,made,[film]
I,done,[couple]
I,watching,[television]
I,seemed,"[to, be, just, one, point, of, view, that, was, coming, across]"
coverage,went,"[television, to, be, just, one, point, of, view, that, was, coming, across]"
Iraqis,going,"[to, be, this, clean, war, and, precision, bombings]"
Iraqis,greeting,[Americans]
Iraqis,throwing,[flowers]
that,taking,[place]
people,supposed,"[to, communicate, with, each, other, when, they, 're, getting, completely, different, messages]"
they,getting,[messages]
other,told,[what]
people,supposed,"[to, have, any, kind, of, common, understanding, or, know, how, to, move, together, into, the, future]"
I,had,"[to, go, there]"
I,wanted,"[to, be, in, the, center]"
I,had,[plan]
I,had,[funding]
I,have,[camera]
somebody,bring,[it]
I,wanted,"[to, get, access, to, Al, Jazeera, ,, George, Bush, 's, favorite, channel, ,, and, a, place, which, I, was, very, curious, about, because, it, 's, disliked, by, many, governments, across, the, Arab, world, ,, and, also, called, the, mouthpiece, of, Osama, Bin, Laden, by, some, people, in, the, US, government]"
it,disliked,[governments]
it,called,"[mouthpiece, people]"
people,has,"[to, be, doing, something, right]"
I,got,"[to, go, see, what, this, is, all, about]"
I,wanted,"[to, go, see, Central, Command, ,, which, was, 10, minutes, away]"
I,get,[access]
I,went,[people]
I,sat,[people]
I,met,[people]
I,met,[people]
I,like,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody]"
you,film,[them]
you,listen,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody, them, more]"
you,allow,[more]
I,offered,[job]
I,take,[it]
I,have,[dream]
I,have,[plans]
they,finish,[school]
I,send,[them]
Jazeera,showed,[them]
they,showed,"[POWs, soldiers]"
America,show,[kinds]
Most,show,[images]
this,showed,[soldiers]
what,hit,[me]
Jazeera,shown,[images]
I,remember,"[having, seen, it, in, the, Al, Jazeera, office]"
it,affect,[me]
me,realizing,"[way, me]"
I,saw,[people]
people,felt,[way]
it,upset,[me]
me,hate,[war]
We,had,[funding]
we,showed,[film]
we,had,[reactions]
people,moved,[film]
I,showed,[film]
people,wanted,"[to, meet, Josh]"
He,redefined,[us]
People,started,"[to, ask, me, ,, "", Where, is, this, guy, now]"
Jazeera,offered,[job]
it,brought,[complexities]
world,has,[that]
I,blown,[motivations]
they,see,[film]
we,feel,[power]
we,need,[to]
we,have,"[to, get, the, power, to, change, things]"
I,saw,[this]
I,saw,[anger]
you,understand,[anger]
you,see,[people]
we,get,[anger]
person,thinking,[what]
film,change,[world]
I,know,[power]
it,starts,[people]
film,speak,[you]
film,take,[you]
film,has,[ability]
you,sit,"[being, taken, into, another, world]"
you,experience,"[being, taken, into, another, world]"
clips,take,[you]
we,faced,[that]
someone,make,[sacrifice]
we,had,[airplanes]
we,need,[martyrs]
We,have,[Paradise]
God,forgive,[you]
I,have,[Paradise]
we,win,[way]
you,doing,[what]
doing,destroying,[us]
you,give,[alibi]
We,have,"[to, turn, it, into, a, moral, war]"
Israel,has,[morals]
wife,called,[me]
you,know,[What]
We,have,[information]
we,saw,[jeeps]
they,opened,[fire]
I,have,[assistants]
I,find,[reason]
that,touched,[me]
who,suffered,[lot]
who,lost,[children]
we,communicated,[that]
You,give,[speech]
I,tell,[you]
you,finish,[song]
who,put,[tools]
who,demanded,[freedom]
everybody,had,[feeling]
I,like,"[what, to, talk, about]"
we,use,[feeling]
we,have,[appreciation]
they,have,[appreciation]
Rushing,ended,"[leaving, the, military, and, taking, a, job, with, Al, Jazeera]"
he,use,[media]
I,trying,"[to, think, about, ways, to, give, power, to, these, independent, voices, ,, to, give, power, to, the, filmmakers, ,, to, give, power, to, people, who, are, trying, to, use, film, for, change]"
who,trying,"[to, use, film, for, change]"
that,working,"[process, interviews, film]"
that,documenting,[process]
that,getting,[interviews]
that,using,[film]
I,watched,[it]
I,blown,"[it, potential]"
I,create,[television]
we,do,[what]
You,have,"[towns, villages, theaters]"
which,highlights,[character]
that,fighting,"[to, live]"
that,defies,[stereotypes]
power,used,"[to, change, people, and, to, bond, people, together]"
they,having,[experience]
you,have,"[theaters, places]"
we,project,[films]
you,imagine,"[projecting, from, Times, Square, to, Tahrir, Square, in, Cairo]"
you,imagine,[what]
you,project,[films]
you,have,[experience]
we,create,[it]
day,create,[momentum]
which,connecting,[voices]
