term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37065249236178e-06,0.0,0.0,6.851379867905396e-06,0.0,0.0,0.0
125,0.0,0.0,0.0,2.016271309467402e-05,9.491898664489859e-06,7.505986023854024e-06,0.0,0.0,8.158270446665307e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,2.016271309467402e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875504032258064e-06,0.0,0.0,7.756026432538082e-06,0.0
129,0.0,0.0,0.0,0.0,9.491898664489859e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.851379867905396e-06,0.0,0.0,6.159721580584557e-06
12th,0.0,2.3518620868072297e-05,0.0,0.0,0.0,0.0,0.0,7.922109816286273e-06,0.0,0.0,3.020630909109216e-05,7.875504032258064e-06,0.0,0.0,0.0,6.159721580584557e-06
13,2.7339958716662336e-05,1.1759310434036149e-05,1.2534155573938984e-05,6.048813928402206e-05,7.593518931591887e-05,5.2541902166978164e-05,0.00012255331069015022,3.9610549081431366e-05,6.526616357332246e-05,5.022391495417068e-05,6.041261818218432e-05,4.7253024193548386e-05,7.536517854695936e-05,4.391582799634035e-05,7.756026432538082e-05,1.8479164741753673e-05
130,1.3669979358331168e-05,1.1759310434036149e-05,2.506831114787797e-05,2.016271309467402e-05,1.8983797328979717e-05,7.505986023854024e-06,0.0,3.9610549081431366e-05,2.447481133999592e-05,1.674130498472356e-05,5.03438484851536e-05,2.3626512096774193e-05,2.0554139603716188e-05,2.1957913998170175e-05,0.0,4.31180510640919e-05
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875504032258064e-06,0.0,7.319304666056724e-06,7.756026432538082e-06,0.0
135,0.0,0.0,0.0,0.0,9.491898664489859e-06,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,0.0,0.0,1.4638609332113449e-05,0.0,1.2319443161169115e-05
136,0.0,0.0,0.0,0.0,0.0,0.0,8.753807906439301e-06,0.0,0.0,0.0,0.0,7.875504032258064e-06,0.0,0.0,0.0,0.0
