,doc,subject,verb,object
382,2,i,drawing,[picture]
383,2,you,remember,[story]
384,2,gibson,did,[sequel]
385,2,you,seen,[it]
386,2,james,got,[part]
387,2,he,have,"[to, speak]"
388,2,you,know,[bit]
389,2,boys,came,[boxes]
390,2,they,put,[boxes]
391,2,boy,said,[boxes]
392,2,i,bring,[gold]
393,2,i,bring,[myrrh]
394,2,frank,sent,[this]
395,2,kids,take,[chance]
396,2,they,have,[go]
397,2,i,mean,"[to, say, that, being, wrong, is, the, same, thing, as, being, creative]"
398,2,we,know,[what]
399,2,they,get,"[to, be, adults]"
400,2,kids,lost,[capacity]
401,2,we,run,[companies]
402,2,we,stigmatize,[mistakes]
403,2,we,running,"[education, systems]"
404,2,we,educating,[people]
405,2,picasso,said,[this]
406,2,he,said,[artists]
407,2,i,believe,[this]
408,2,you,imagine,[transition]
409,2,you,struck,[thought]
410,2,we,moved,"[to, say, a, word, about, the, transition]"
411,2,i,want,"[to, say, a, word, about, the, transition]"
412,2,son,want,"[to, come]"
413,2,i,got,[kids]
414,2,he,want,"[to, come, to, los, angeles]"
415,2,he,loved,[it]
416,2,he,had,[girlfriend]
417,2,he,known,[her]
418,2,laughter,mind,[you]
419,2,they,had,[anniversary]
420,2,i,find,[girl]
421,2,we,leaving,[country]
422,2,something,strikes,[you]
423,2,system,has,[hierarchy]
424,2,music,given,[status]
425,2,that,teaches,[dance]
426,2,we,teach,[mathematics]
427,2,they,allowed,[to]
428,2,we,have,[bodies]
429,2,i,miss,[meeting]
430,2,we,start,"[to, educate, them, progressively, from, the, waist, up]"
431,2,you,have,"[to, conclude]"
432,2,who,does,[everything]
433,2,who,gets,"[that, brownie, points]"
434,2,you,have,"[to, conclude, the, whole, purpose, of, public, education, throughout, the, world]"
435,2,who,come,[top]
436,2,i,used,"[to, be, one]"
437,2,i,like,"[university, professors]"
438,2,we,hold,[them]
439,2,i,say,[this]
440,2,laughter,get,[yourself]
441,2,you,want,[evidence]
442,2,you,see,[it]
443,2,they,go,[paper]
444,2,they,write,[paper]
445,2,you,get,[job]
446,2,you,going,"[to, be, a, musician]"
447,2,universities,designed,[system]
448,2,we,afford,"[to, go, on, that, way]"
449,2,you,had,[degree]
450,2,you,had,[job]
451,2,you,have,[job]
452,2,you,want,[one]
453,2,i,want,[one]
454,2,kids,heading,[phd]
