term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
1952,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1953,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1
1954,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1955,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
1956,0,0,3,0,0,1,0,1,0,0,0,2,1,0,0,0
1957,1,1,2,0,0,4,0,0,0,0,0,5,1,0,0,0
1958,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1959,1,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0
196,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1960,4,0,1,1,4,1,1,3,0,2,0,4,1,0,0,2
1960s,0,1,1,2,2,5,0,1,2,0,1,0,1,4,2,1
1961,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0
1962,1,0,0,2,3,2,0,0,0,0,1,1,1,0,1,0
1963,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1964,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
1965,1,0,1,0,0,1,1,1,0,0,0,0,3,0,0,0
1966,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0
1967,2,0,0,0,1,1,2,2,0,0,0,0,1,0,0,0
1968,1,0,1,1,2,2,0,2,1,0,1,0,0,0,0,1
1969,0,1,0,1,2,0,0,0,0,0,1,2,1,3,0,2
1970,0,0,0,2,4,1,1,4,1,0,1,3,3,0,2,2
1970s,0,1,2,0,0,0,2,3,1,1,0,4,3,6,3,6
1971,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
1972,0,0,0,0,1,0,0,1,1,0,2,1,4,1,0,0
1973,0,4,0,1,0,0,2,2,0,0,0,2,1,1,1,0
1974,1,1,0,0,4,0,3,2,0,0,1,0,0,1,0,1
1975,0,0,0,0,0,1,0,4,0,1,0,0,0,2,1,1
1976,2,1,0,0,1,1,1,1,0,1,2,0,1,1,0,0
1977,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
1978,0,1,0,0,1,1,1,1,0,3,0,0,0,0,0,0
1979,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1
1980,0,1,0,0,4,0,3,0,1,1,2,1,0,1,2,0
1980s,0,0,2,0,0,3,2,5,2,1,0,3,3,3,2,3
1981,0,1,0,0,0,3,0,1,0,1,2,1,0,0,0,0
1982,0,1,0,0,3,1,0,1,2,0,1,1,1,0,0,1
1983,1,3,1,0,0,1,1,4,0,0,0,0,3,1,0,0
1984,1,0,0,1,0,0,1,1,1,1,3,0,6,0,0,1
1985,0,1,0,0,2,0,5,0,1,0,0,0,1,3,0,1
1986,1,0,0,0,2,1,0,0,1,0,2,0,0,1,0,0
1987,1,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
1988,0,0,0,1,0,2,0,0,0,0,0,1,2,2,0,3
1989,1,0,1,0,0,1,2,1,0,0,0,0,0,0,1,1
1990,0,1,2,4,0,0,3,4,2,1,2,5,3,1,0,0
1990s,1,1,2,6,1,9,5,0,1,0,3,5,5,5,1,1
1991,1,1,0,0,1,4,5,0,1,0,0,1,2,0,0,1
1992,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0
1993,1,0,0,0,0,3,1,1,0,1,2,2,3,1,0,0
1994,0,2,2,0,0,3,3,3,2,0,0,1,2,1,0,0
1995,1,2,1,1,0,2,2,1,1,2,0,4,4,0,1,0
1996,1,1,0,0,2,2,2,3,0,0,2,2,2,0,1,2
1997,0,0,3,1,2,2,1,3,0,0,1,1,3,0,1,1
1998,4,1,2,1,1,1,1,2,1,1,2,2,1,14,1,2
1999,1,3,1,0,2,2,1,3,0,1,0,1,2,2,1,1
19th,0,3,4,3,1,1,1,2,3,7,1,6,4,0,3,2
20,31,32,25,37,47,44,35,53,40,38,36,41,38,54,28,48
200,7,14,9,12,4,17,13,23,12,14,7,18,19,9,15,14
2000,3,5,4,2,4,4,6,5,2,3,2,7,4,4,4,2
2000s,0,0,0,1,0,1,0,0,0,0,0,1,2,3,1,3
2001,1,2,3,3,5,11,2,2,0,2,1,0,2,7,2,1
2002,1,1,1,3,2,1,1,2,1,0,1,4,1,1,1,3
2003,1,2,0,0,7,6,4,3,1,1,2,2,1,5,0,1
2004,2,0,1,3,5,6,3,3,2,5,3,4,2,4,1,1
2005,0,0,1,2,5,6,4,5,3,2,3,2,2,2,0,1
2006,0,0,1,0,1,7,3,6,2,2,0,1,3,1,1,0
2007,0,0,0,0,1,4,2,7,7,4,1,3,5,4,4,5
2008,0,0,2,1,1,0,3,6,5,2,2,5,7,5,2,3
2009,0,0,0,0,0,0,1,8,4,5,3,1,3,5,8,1
2010,0,0,0,3,4,1,0,4,3,4,5,4,3,5,10,2
2011,1,0,0,1,0,0,0,5,0,3,4,4,4,8,7,2
2012,0,0,0,3,0,0,0,0,1,1,6,4,5,5,11,3
2013,0,0,0,0,0,0,0,1,0,0,2,0,2,6,6,7
2014,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,8
2015,1,0,0,0,1,0,1,5,0,0,0,0,0,1,8,6
2016,0,0,0,0,0,1,0,1,0,0,0,0,3,3,6,6
2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2018,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2020,1,0,1,1,5,1,0,8,4,0,2,0,0,2,2,3
2020s,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
2025,2,0,0,3,0,0,1,0,0,0,0,0,1,2,1,0
2030,0,0,0,1,0,0,0,2,0,0,0,6,1,0,2,6
2040,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0
205,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2050,0,2,0,0,0,1,3,6,1,0,2,0,1,3,0,4
20s,0,0,1,0,1,2,2,1,0,3,1,17,0,3,1,3
20th,0,9,4,2,2,2,7,9,6,10,4,13,11,3,3,4
21,0,2,2,2,5,8,11,0,10,2,2,5,2,6,8,5
2100,0,1,0,5,0,1,0,1,1,0,0,0,0,0,0,0
211,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
216,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
218,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
21st,3,2,1,8,1,2,1,10,4,4,3,6,4,3,9,3
22,2,0,1,6,2,0,3,5,3,5,2,6,2,15,2,7
220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
223,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
225,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0
226,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
228,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22nd,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
23,1,2,2,6,2,5,4,1,5,0,0,5,6,5,3,8
230,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
233,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
238,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23andme,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23rd,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,1,2,2,4,4,11,9,7,7,7,7,9,11,7,6,10
240,1,2,0,0,0,1,1,1,0,0,0,0,0,2,0,1
247,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24th,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
25,11,11,8,9,14,22,12,21,23,12,13,27,9,10,6,25
250,0,3,0,5,2,4,5,6,3,6,2,6,5,10,3,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
256,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0
